row_id,A_source,B_source,first_final_answer,swapped_final_answer,chosen_source_direct,chosen_source_reversed,order_influenced_decision
4227a025,winning_human,losing_human,2,1,losing_human,losing_human,No
4227a025,winning_human,paraphrase_gpt5,1,2,winning_human,winning_human,No
4227a025,winning_human,improve_gpt5,1,1,winning_human,improve_gpt5,Yes
4227a025,winning_human,generate_gpt5,1,1,winning_human,generate_gpt5,Yes
4227a025,winning_human,paraphrase_gpt4o,2,2,paraphrase_gpt4o,winning_human,Yes
4227a025,winning_human,improve_gpt4o,1,1,winning_human,improve_gpt4o,Yes
4227a025,winning_human,generate_gpt4o,2,1,generate_gpt4o,generate_gpt4o,No
4227a025,winning_human,paraphrase_mistral,1,2,winning_human,winning_human,No
4227a025,winning_human,improve_mistral,2,1,improve_mistral,improve_mistral,No
4227a025,winning_human,generate_mistral,1,1,winning_human,generate_mistral,Yes
4227a025,winning_human,paraphrase_llama,2,1,paraphrase_llama,paraphrase_llama,No
4227a025,winning_human,improve_llama,1,2,winning_human,winning_human,No
4227a025,winning_human,generate_llama,1,2,winning_human,winning_human,No
4227a025,winning_human,paraphrase_qwen,1,1,winning_human,paraphrase_qwen,Yes
4227a025,winning_human,improve_qwen,2,1,improve_qwen,improve_qwen,No
4227a025,winning_human,generate_qwen,2,2,generate_qwen,winning_human,Yes
4227a025,winning_human,paraphrase_gemini,2,1,paraphrase_gemini,paraphrase_gemini,No
4227a025,winning_human,improve_gemini,1,1,winning_human,improve_gemini,Yes
4227a025,winning_human,generate_gemini,2,1,generate_gemini,generate_gemini,No
4227a025,winning_human,paraphrase_sonnet,1,1,winning_human,paraphrase_sonnet,Yes
4227a025,winning_human,improve_sonnet,1,2,winning_human,winning_human,No
4227a025,winning_human,generate_sonnet,2,1,generate_sonnet,generate_sonnet,No
4227a025,losing_human,paraphrase_gpt5,1,1,losing_human,paraphrase_gpt5,Yes
4227a025,losing_human,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
4227a025,losing_human,generate_gpt5,2,1,generate_gpt5,generate_gpt5,No
4227a025,losing_human,paraphrase_gpt4o,2,2,paraphrase_gpt4o,losing_human,Yes
4227a025,losing_human,improve_gpt4o,1,1,losing_human,improve_gpt4o,Yes
4227a025,losing_human,generate_gpt4o,1,2,losing_human,losing_human,No
4227a025,losing_human,paraphrase_mistral,2,1,paraphrase_mistral,paraphrase_mistral,No
4227a025,losing_human,improve_mistral,1,2,losing_human,losing_human,No
4227a025,losing_human,generate_mistral,2,2,generate_mistral,losing_human,Yes
4227a025,losing_human,paraphrase_llama,2,1,paraphrase_llama,paraphrase_llama,No
4227a025,losing_human,improve_llama,2,2,improve_llama,losing_human,Yes
4227a025,losing_human,generate_llama,2,2,generate_llama,losing_human,Yes
4227a025,losing_human,paraphrase_qwen,2,1,paraphrase_qwen,paraphrase_qwen,No
4227a025,losing_human,improve_qwen,2,2,improve_qwen,losing_human,Yes
4227a025,losing_human,generate_qwen,2,1,generate_qwen,generate_qwen,No
4227a025,losing_human,paraphrase_gemini,2,1,paraphrase_gemini,paraphrase_gemini,No
4227a025,losing_human,improve_gemini,1,2,losing_human,losing_human,No
4227a025,losing_human,generate_gemini,2,2,generate_gemini,losing_human,Yes
4227a025,losing_human,paraphrase_sonnet,2,1,paraphrase_sonnet,paraphrase_sonnet,No
4227a025,losing_human,improve_sonnet,1,2,losing_human,losing_human,No
4227a025,losing_human,generate_sonnet,2,2,generate_sonnet,losing_human,Yes
ba1c6225,winning_human,losing_human,1,1,winning_human,losing_human,Yes
ba1c6225,winning_human,paraphrase_gpt5,2,2,paraphrase_gpt5,winning_human,Yes
ba1c6225,winning_human,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
ba1c6225,winning_human,generate_gpt5,2,1,generate_gpt5,generate_gpt5,No
