id,proposition,answer_direct,answer_swapped,order_influenced_decision,model_1,model_2,chosen_source_direct,chosen_source_reversed
4227a025,A monarchy is preferable to any other form of government.,1,2,No,winning_text,losing_text,winning_text,winning_text
4227a025,A monarchy is preferable to any other form of government.,2,2,Yes,winning_text,paraphrase_gpt5,paraphrase_gpt5,winning_text
4227a025,A monarchy is preferable to any other form of government.,2,1,No,winning_text,improve_gpt5,improve_gpt5,improve_gpt5
4227a025,A monarchy is preferable to any other form of government.,2,1,No,winning_text,generate_gpt5,generate_gpt5,generate_gpt5
4227a025,A monarchy is preferable to any other form of government.,2,2,Yes,winning_text,paraphrase_gpt4o,paraphrase_gpt4o,winning_text
4227a025,A monarchy is preferable to any other form of government.,2,1,No,winning_text,improve_gpt4o,improve_gpt4o,improve_gpt4o
4227a025,A monarchy is preferable to any other form of government.,2,1,No,winning_text,generate_gpt4o,generate_gpt4o,generate_gpt4o
4227a025,A monarchy is preferable to any other form of government.,2,2,Yes,winning_text,paraphrase_qwen,paraphrase_qwen,winning_text
4227a025,A monarchy is preferable to any other form of government.,2,2,Yes,winning_text,improve_qwen,improve_qwen,winning_text
4227a025,A monarchy is preferable to any other form of government.,2,1,No,winning_text,generate_qwen,generate_qwen,generate_qwen
4227a025,A monarchy is preferable to any other form of government.,2,2,Yes,winning_text,paraphrase_llama,paraphrase_llama,winning_text
4227a025,A monarchy is preferable to any other form of government.,2,2,Yes,winning_text,improve_llama,improve_llama,winning_text
4227a025,A monarchy is preferable to any other form of government.,2,2,Yes,winning_text,generate_llama,generate_llama,winning_text
4227a025,A monarchy is preferable to any other form of government.,2,2,Yes,winning_text,paraphrase_mistral,paraphrase_mistral,winning_text
4227a025,A monarchy is preferable to any other form of government.,2,1,No,winning_text,improve_mistral,improve_mistral,improve_mistral
4227a025,A monarchy is preferable to any other form of government.,2,2,Yes,winning_text,generate_mistral,generate_mistral,winning_text
