source_row,proposition,A_source,B_source,answer_direct,answer_swapped,order_influenced_decision,chosen_source_normal,chosen_source_swap
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_text,2,2,Yes,losing_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_claude,2,1,No,losing_generate_claude,losing_generate_claude
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_gemini,2,1,No,losing_generate_gemini,losing_generate_gemini
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_gpt4omini,2,2,Yes,losing_generate_gpt4omini,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_gpt5nano,2,2,Yes,losing_generate_gpt5nano,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_llama,2,2,Yes,losing_generate_llama,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_mistral,2,2,Yes,losing_generate_mistral,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_qwen,2,2,Yes,losing_generate_qwen,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_claude,2,2,Yes,losing_improve_claude,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_gemini,2,2,Yes,losing_improve_gemini,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_gpt4omini,2,2,Yes,losing_improve_gpt4omini,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_gpt5nano,2,1,No,losing_improve_gpt5nano,losing_improve_gpt5nano
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_llama,2,2,Yes,losing_improve_llama,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_mistral,2,2,Yes,losing_improve_mistral,winning_text
