row_id,A_source,B_source,direct_answer,swapped_answer,order_influenced_decision,chosen_source_direct,chosen_source_reversed
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_text,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_claude,2,1,No,losing_generate_claude,losing_generate_claude
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_gemini,2,1,No,losing_generate_gemini,losing_generate_gemini
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_gpt4omini,2,1,No,losing_generate_gpt4omini,losing_generate_gpt4omini
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_gpt5nano,2,1,No,losing_generate_gpt5nano,losing_generate_gpt5nano
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_llama,2,1,No,losing_generate_llama,losing_generate_llama
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_mistral,2,1,No,losing_generate_mistral,losing_generate_mistral
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_generate_qwen,1,,Yes,winning_text,ERROR
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_claude,2,1,Yes,losing_improve_claude,losing_improve_claude
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_gemini,2,1,No,losing_improve_gemini,losing_improve_gemini
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_gpt4omini,2,1,No,losing_improve_gpt4omini,losing_improve_gpt4omini
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_gpt5nano,2,1,No,losing_improve_gpt5nano,losing_improve_gpt5nano
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_llama,2,1,Yes,losing_improve_llama,losing_improve_llama
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_mistral,2,1,Yes,losing_improve_mistral,losing_improve_mistral
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_improve_qwen,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_paraphrase_claude,1,2,Yes,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_paraphrase_gemini,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_paraphrase_gpt4omini,1,,Yes,winning_text,ERROR
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_paraphrase_gpt5nano,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_paraphrase_llama,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_paraphrase_mistral,1,2,No,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,winning_text,losing_paraphrase_qwen,1,2,Yes,winning_text,winning_text
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_generate_claude,2,1,No,losing_generate_claude,losing_generate_claude
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_generate_gemini,2,1,No,losing_generate_gemini,losing_generate_gemini
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_generate_gpt4omini,2,1,No,losing_generate_gpt4omini,losing_generate_gpt4omini
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_generate_gpt5nano,2,1,No,losing_generate_gpt5nano,losing_generate_gpt5nano
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_generate_llama,2,1,No,losing_generate_llama,losing_generate_llama
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_generate_mistral,2,1,No,losing_generate_mistral,losing_generate_mistral
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_generate_qwen,1,,Yes,losing_text,ERROR
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_improve_claude,2,1,No,losing_improve_claude,losing_improve_claude
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_improve_gemini,2,1,No,losing_improve_gemini,losing_improve_gemini
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_improve_gpt4omini,2,1,No,losing_improve_gpt4omini,losing_improve_gpt4omini
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_improve_gpt5nano,2,1,No,losing_improve_gpt5nano,losing_improve_gpt5nano
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_improve_llama,2,1,No,losing_improve_llama,losing_improve_llama
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_improve_mistral,2,1,No,losing_improve_mistral,losing_improve_mistral
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_improve_qwen,2,1,No,losing_improve_qwen,losing_improve_qwen
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_paraphrase_claude,2,1,No,losing_paraphrase_claude,losing_paraphrase_claude
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_paraphrase_gemini,2,1,Yes,losing_paraphrase_gemini,losing_paraphrase_gemini
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_paraphrase_gpt4omini,2,1,No,losing_paraphrase_gpt4omini,losing_paraphrase_gpt4omini
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_paraphrase_gpt5nano,2,,Yes,losing_paraphrase_gpt5nano,ERROR
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_paraphrase_llama,2,,Yes,losing_paraphrase_llama,ERROR
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,losing_text,losing_paraphrase_mistral,,,Yes,ERROR,ERROR
