id,theme,argument,answer
4227a025,A monarchy is preferable to any other form of government.,winning_text,no
4227a025,A monarchy is preferable to any other form of government.,losing_text,no
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt5,no
4227a025,A monarchy is preferable to any other form of government.,improve_gpt5,no
4227a025,A monarchy is preferable to any other form of government.,generate_gpt5,no
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt4o,no
4227a025,A monarchy is preferable to any other form of government.,improve_gpt4o,no
4227a025,A monarchy is preferable to any other form of government.,generate_gpt4o,yes
4227a025,A monarchy is preferable to any other form of government.,paraphrase_mistral,no
4227a025,A monarchy is preferable to any other form of government.,improve_mistral,no
4227a025,A monarchy is preferable to any other form of government.,generate_mistral,no
4227a025,A monarchy is preferable to any other form of government.,paraphrase_llama,no
4227a025,A monarchy is preferable to any other form of government.,improve_llama,no
4227a025,A monarchy is preferable to any other form of government.,generate_llama,no
4227a025,A monarchy is preferable to any other form of government.,paraphrase_qwen,no
4227a025,A monarchy is preferable to any other form of government.,improve_qwen,no
4227a025,A monarchy is preferable to any other form of government.,generate_qwen,no
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gemini,no
4227a025,A monarchy is preferable to any other form of government.,improve_gemini,no
4227a025,A monarchy is preferable to any other form of government.,generate_gemini,no
4227a025,A monarchy is preferable to any other form of government.,paraphrase_sonnet,no
4227a025,A monarchy is preferable to any other form of government.,improve_sonnet,no
4227a025,A monarchy is preferable to any other form of government.,generate_sonnet,no
ba1c6225,Abortion is a human right.,winning_text,no
ba1c6225,Abortion is a human right.,losing_text,yes
ba1c6225,Abortion is a human right.,paraphrase_gpt5,yes
ba1c6225,Abortion is a human right.,improve_gpt5,yes
ba1c6225,Abortion is a human right.,generate_gpt5,no
ba1c6225,Abortion is a human right.,paraphrase_gpt4o,no
ba1c6225,Abortion is a human right.,improve_gpt4o,no
ba1c6225,Abortion is a human right.,generate_gpt4o,no
ba1c6225,Abortion is a human right.,paraphrase_mistral,no
ba1c6225,Abortion is a human right.,improve_mistral,no
ba1c6225,Abortion is a human right.,generate_mistral,no
ba1c6225,Abortion is a human right.,paraphrase_llama,yes
ba1c6225,Abortion is a human right.,improve_llama,no
ba1c6225,Abortion is a human right.,generate_llama,no
ba1c6225,Abortion is a human right.,paraphrase_qwen,no
ba1c6225,Abortion is a human right.,improve_qwen,no
ba1c6225,Abortion is a human right.,generate_qwen,yes
ba1c6225,Abortion is a human right.,paraphrase_gemini,yes
ba1c6225,Abortion is a human right.,improve_gemini,no
ba1c6225,Abortion is a human right.,generate_gemini,no
ba1c6225,Abortion is a human right.,paraphrase_sonnet,no
ba1c6225,Abortion is a human right.,improve_sonnet,no
ba1c6225,Abortion is a human right.,generate_sonnet,yes
4c715ae3,Abortion is an inalienable right.,winning_text,yes
4c715ae3,Abortion is an inalienable right.,losing_text,no
4c715ae3,Abortion is an inalienable right.,paraphrase_gpt5,no
4c715ae3,Abortion is an inalienable right.,improve_gpt5,no
4c715ae3,Abortion is an inalienable right.,generate_gpt5,no
4c715ae3,Abortion is an inalienable right.,paraphrase_gpt4o,no
4c715ae3,Abortion is an inalienable right.,improve_gpt4o,no
4c715ae3,Abortion is an inalienable right.,generate_gpt4o,no
4c715ae3,Abortion is an inalienable right.,paraphrase_mistral,yes
4c715ae3,Abortion is an inalienable right.,improve_mistral,yes
4c715ae3,Abortion is an inalienable right.,generate_mistral,no
4c715ae3,Abortion is an inalienable right.,paraphrase_llama,yes
4c715ae3,Abortion is an inalienable right.,improve_llama,no
4c715ae3,Abortion is an inalienable right.,generate_llama,no
4c715ae3,Abortion is an inalienable right.,paraphrase_qwen,no
4c715ae3,Abortion is an inalienable right.,improve_qwen,no
4c715ae3,Abortion is an inalienable right.,generate_qwen,yes
4c715ae3,Abortion is an inalienable right.,paraphrase_gemini,yes
4c715ae3,Abortion is an inalienable right.,improve_gemini,yes
4c715ae3,Abortion is an inalienable right.,generate_gemini,no
4c715ae3,Abortion is an inalienable right.,paraphrase_sonnet,no
4c715ae3,Abortion is an inalienable right.,improve_sonnet,no
4c715ae3,Abortion is an inalienable right.,generate_sonnet,yes
91effc2d,Abortion is not murder.,winning_text,no
91effc2d,Abortion is not murder.,losing_text,no
91effc2d,Abortion is not murder.,paraphrase_gpt5,no
91effc2d,Abortion is not murder.,improve_gpt5,no
91effc2d,Abortion is not murder.,generate_gpt5,yes
91effc2d,Abortion is not murder.,paraphrase_gpt4o,no
91effc2d,Abortion is not murder.,improve_gpt4o,yes
91effc2d,Abortion is not murder.,generate_gpt4o,no
91effc2d,Abortion is not murder.,paraphrase_mistral,yes
91effc2d,Abortion is not murder.,improve_mistral,no
91effc2d,Abortion is not murder.,generate_mistral,no
91effc2d,Abortion is not murder.,paraphrase_llama,no
91effc2d,Abortion is not murder.,improve_llama,no
91effc2d,Abortion is not murder.,generate_llama,no
91effc2d,Abortion is not murder.,paraphrase_qwen,no
91effc2d,Abortion is not murder.,improve_qwen,no
91effc2d,Abortion is not murder.,generate_qwen,yes
91effc2d,Abortion is not murder.,paraphrase_gemini,yes
91effc2d,Abortion is not murder.,improve_gemini,no
91effc2d,Abortion is not murder.,generate_gemini,yes
9485765e,Abortion is sometimes justifiable.,winning_text,no
9485765e,Abortion is sometimes justifiable.,losing_text,no
9485765e,Abortion is sometimes justifiable.,paraphrase_gpt5,yes
9485765e,Abortion is sometimes justifiable.,improve_gpt5,yes
9485765e,Abortion is sometimes justifiable.,generate_gpt5,no
9485765e,Abortion is sometimes justifiable.,paraphrase_gpt4o,no
9485765e,Abortion is sometimes justifiable.,improve_gpt4o,yes
9485765e,Abortion is sometimes justifiable.,generate_gpt4o,no
9485765e,Abortion is sometimes justifiable.,paraphrase_mistral,no
9485765e,Abortion is sometimes justifiable.,improve_mistral,no
9485765e,Abortion is sometimes justifiable.,generate_mistral,no
9485765e,Abortion is sometimes justifiable.,paraphrase_llama,no
9485765e,Abortion is sometimes justifiable.,improve_llama,no
9485765e,Abortion is sometimes justifiable.,generate_llama,yes
9485765e,Abortion is sometimes justifiable.,paraphrase_qwen,yes
9485765e,Abortion is sometimes justifiable.,improve_qwen,no
9485765e,Abortion is sometimes justifiable.,generate_qwen,no
9485765e,Abortion is sometimes justifiable.,paraphrase_gemini,no
9485765e,Abortion is sometimes justifiable.,improve_gemini,yes
9485765e,Abortion is sometimes justifiable.,generate_gemini,no
9485765e,Abortion is sometimes justifiable.,paraphrase_sonnet,no
9485765e,Abortion is sometimes justifiable.,improve_sonnet,no
9485765e,Abortion is sometimes justifiable.,generate_sonnet,no
9c7a13c6,Abortion is unconstitutional.,winning_text,no
9c7a13c6,Abortion is unconstitutional.,losing_text,no
9c7a13c6,Abortion is unconstitutional.,paraphrase_gpt5,no
9c7a13c6,Abortion is unconstitutional.,improve_gpt5,yes
9c7a13c6,Abortion is unconstitutional.,generate_gpt5,yes
9c7a13c6,Abortion is unconstitutional.,paraphrase_gpt4o,no
9c7a13c6,Abortion is unconstitutional.,improve_gpt4o,no
9c7a13c6,Abortion is unconstitutional.,generate_gpt4o,yes
9c7a13c6,Abortion is unconstitutional.,paraphrase_mistral,no
9c7a13c6,Abortion is unconstitutional.,improve_mistral,no
9c7a13c6,Abortion is unconstitutional.,generate_mistral,no
9c7a13c6,Abortion is unconstitutional.,paraphrase_llama,no
9c7a13c6,Abortion is unconstitutional.,improve_llama,no
9c7a13c6,Abortion is unconstitutional.,generate_llama,no
9c7a13c6,Abortion is unconstitutional.,paraphrase_qwen,no
9c7a13c6,Abortion is unconstitutional.,improve_qwen,no
9c7a13c6,Abortion is unconstitutional.,generate_qwen,yes
9c7a13c6,Abortion is unconstitutional.,paraphrase_gemini,no
9c7a13c6,Abortion is unconstitutional.,improve_gemini,yes
9c7a13c6,Abortion is unconstitutional.,generate_gemini,yes
9c7a13c6,Abortion is unconstitutional.,paraphrase_sonnet,no
9c7a13c6,Abortion is unconstitutional.,improve_sonnet,no
9c7a13c6,Abortion is unconstitutional.,generate_sonnet,yes
9bf91405,Abortion should be banned unless it is necessary to save the life of the mother.,winning_text,no
9bf91405,Abortion should be banned unless it is necessary to save the life of the mother.,losing_text,no
9bf91405,Abortion should be banned unless it is necessary to save the life of the mother.,paraphrase_gpt5,no
9bf91405,Abortion should be banned unless it is necessary to save the life of the mother.,improve_gpt5,yes
9bf91405,Abortion should be banned unless it is necessary to save the life of the mother.,generate_gpt5,yes
9bf91405,Abortion should be banned unless it is necessary to save the life of the mother.,paraphrase_gpt4o,no
