id,proposition,argument,score
4227a025,A monarchy is preferable to any other form of government.,"The First round shall be for acceptance The second and thir shall be for arguments and rebuttals And the Final round shall be our conclusory statements In this debate, we are to assume that a modern day monarchy would have this hypothetical structure: Elected monarchs that rule for 40 years to a lifetime Monarchs are given dominion over the military, foreign policy, trade, and law making. There is a panel of advisors who's only authority is to prevent the Monarch from making decisions that would outright harm the nation. Sexism/Racism is not an issue Aside from this model, it is acceptable to utilize historical examples to argue for or against. Definitions: Monarchy: Government in which an individual or family controls law-making, justice, and national security Democracy: Government in which countrymen only vote on issues that affect all of them. Republic: Government that elects temporary governors to maintain the nation Monarch: Individual who governs nation as highest authority Government: System of positions that maintain, enforce, and create laws for a group of people To answer the question really quick, by that I meant that in the hypothetical system race or gender would not affect one's opportunity to become monarch. Now, My first argument will be that monarchies have, generally throughout history, lasted significantly longer than any other form of government. The longest lasting democracies haven't lasted more than three centuries, and republics haven't lasted much longer than that, however monarchies have lasted whole millennia before. Of course by this I refer to Egypt. Along with this, Monarchies have also brought many nations and empires to very prosperous periods that can easily rival our own nation's progress in the last century. For instance, after Caesar seized control of the Roman government, his empire had a noticeable expansion period which brought much wealth and trade to Rome and brought many more cities and kingdoms into the fold of Roman control. http://en.wikipedia.org... http://www.roman-empire.net... I would like to apologize for the shoddiness of my links, I'm currently unable to gather a larger and more preferable array of sources. forfeit forfeit",2
ba1c6225,Abortion is a human right.,"Abortion should not be legal through all trimesters of pregnancy. A baby weather considered 'alive' or not has every right to live. If the mother is an american citizen, so is her baby, and in this country all people are considered equal. In the name of equality, it is unjust to kill an unborn baby. Abortion is morally wrong, we cannot kill those who do not deserve to die . A fetus may not be considered its own human being, but because it is technically part of its mother, it has the same rights. You say 'what if' in your rebuttal. This decreases the credibility of your argument. 'What if' the aborted baby finds the cure for cancer, 'what if' the aborted baby were to save a bus full of old people. You cannot fuss about what hasn't happen, or may never happen. A baby is alive, it exhibits all seven characteristics of life; - It is composed of cells - It has different levels of organization within its body - It uses energy - It responds to its environment - It grows - Its cells can reproduce - It adapts to its environment To kill a living thing without any justification other than 'the mother isn't ready' is not worthy to be practiced in the United States. Why would human life in this country be treated as anything other than equal. You say that the baby cannot vote drive or own property, this is similar to both you and I, neither of us can vote, drive or own property, yet we are both treated as equal people. In your rebuttal you say 'just because it is morally wrong to remove an egg and a sperm' the egg and sperm fuse upon conception to form 46 chromosomes and 1 cell. The cell then splits to 2 then 4 then 8 then 16 and so fourth... To abort a baby is to kill a human life, it is not as easy as removing a sperm and an egg. In conclusion, abortion is nothing more than murder. Killing the purest forms of human life is not a line in the future of this country.",3
4c715ae3,Abortion is an inalienable right.,"Abortion is a right, but that right, like any right, is not inalienable. All rights are alienable- by the action of the rights-bearer, in waiving that right directly or in invalidating it by violating someone else's rights. If a woman has ever stood outside an abortion clinic, blocking the path to the abortionist for someone else, she does not have the right to abortion. If a woman kills someone innocent, she does not have the right to abortion. If a woman sticks a knife inside another innocent woman's womb, she has invalidated any claim she once had to her own. Whosoever doth not recognize rights doth not have them, is the relevant principle here. If the state wishes a murderess to bear their new genetically modified super-soldier in her womb, the murderess, by virtue of her guilt for murder, has no right to protests. Granted, in more mundane situations the state will have no need of the murderess's womb. Yet this does not mean she has the right to it. That right, and all other of the murderess' rights, have been alienated by her action. http://www.answers.com... When you don't define something in the first round, you're typically subject to the dictionary. None of these have a ""Without consent"" clause, and the philosophy dictionary specifically dictates that it cannot be signed away voluntarily. Dictionaries are typically better indicators of common usage than an obscure court case. "" But we must recognize that forfeiture of a right by the bearer does NOT supersede the inalienable right. If I say ""I give up my right to abortion"", you cannot forbid me one if later I have a change of heart. A temporary waiving of my right to one does not make it alienable by any logic."" You didn't specify temporary in that statement. If you give something up, and no period of time is mentioned, it is assumed to be permanent. "" Because one opposes a right does not make the persons right to what they oppose inalienable. Do I give up my right to life because I support capital punishment? I am violating another's right to life by condoning it, but the criminal voluntarily forfeited their right to life"" If they forfeit it, you aren't violating it. You cannot violate what is not present. If, however, you support (or execute on your own authority perhaps :D) capital punishment of people who have not forfeited it (abortionists, say :D), you have forfeited it by that support. And all other rights, since all rights exist as consequences of human nature being calculated with the right to life. And thank you, my good opponent, for learning. So few are willing to do so :D",3
91effc2d,Abortion is not murder.,"Abortion cannot be regarded as murder, because firstly you cannot regard as a fetus as a human being, it is just that a fetus. The fetus can only be regarding as a human being and worthy of protection of the right to life when it takes its first breathe a separated from its mother (when the umbilical cord is cut off) and is essentially living on its own without any external aide. Furthermore to consider abortion murder would be robbing the mother of her right to bodily integrity and to choose whether or not she wants to keep the baby. After all it is her body and baby, who are we as society to tell her what not to do and what to do in this regard ""The fetus can be regarded as a human being""- astronauts are regarded as human beings, reasons need not be provided for this assertion as Pro's initial arguments speaks for itself. A fetus is not a baby, it is not human, it lacks the capacity to survive on its own, a human being's natural habitat is not inside a woman in a womb, it is outside, human being can breath, murder is regarded as intentionally killing a human being, it is not so broad as to include killing a non human organism such as a fetus. Also at what point should we regard the fetus as living, if we're going to regard it as a human being capable of being murdered, should we not then afford it with all other rights afforded to human beings, such as the right to dignity? Definition of human being (more technical than human therefore more appropriate): a man, woman, or child of the species Homo sapiens, distinguished from other animals by superior mental development, power of articulate speech, and upright stance. Oxford -Fetus does not meet these requirements set= not a human being -Apes also have characteristics of humans, and DNA over 98% similar does that make them human? -If a fetus has the right to dignity, wouldn't this mean that mother's would be prohibited from smoking and excessive alcohol consumption -fetus only begins to appear remotely human at week 11 http://www.embryo.chronolab.com... -who should be charged with murder, mother or doctor= legal uncertainty",3
9485765e,Abortion is sometimes justifiable.,"Well, to start I was confused by the question and believed I would be going against abortion but I 'm going to go ahead and take the for abortion just to see how well you can make your arguement. *Point 1: Pregnancy due to rape should have a way out. No 15 year old (age just for example) should have to give birth because of someone's else wrongdoing. That is to young of an age to have a child and even to go through the process. Abortion is often the only way out without taking time out of school or a possible job and without going through the pains of child birth. See. It isn't always right. However, the debate topic is that it is wrong and morally unjustifiable which you just admitted that it could be justified (yet again, I am only going this way cause I commited to it and I might as well see how well I can argue something I don't believe). However, if a mother also finds that the child could have disabilities (I work with people with disabilities so no direspect it meant) it is well within the rights for them to ease both their lives and the unborn child's. That's all I got til you respond. Well, as I've already gotten you to admit that abortion is justifiable, the child is unborn. When a person such as a developmentally or intellectually disabled person would be born, it should be the rights of the parent. Also, if a parent decides that pregnancy isn't for them, they should be able to abort the child. The child is not the one that will have to deal with caring for itself for the first 18 years of its life, and if is it disabled then the parents could be potentially having to work with them for life. I happen to LOVE working with disabled people but for some people, it just isn't right for them and many people feel guilty about adoption as then the child remains born but knows that the parents didn't care enough to keep it and that it might not ever have anybody to call mother or father. Yet again, I am against abortion but these are the arguments I hear most in support for it.",2
9c7a13c6,Abortion is unconstitutional.,"=Definitions= 1. Created: ""to bring into existence"" 2. Endowed: ""to provide with something freely or naturally"" 3. Life:""the quality that distinguishes a vital and functional being from a dead body"" Also definitions from the Merriam-Webster online dictionary -> http://www.merriam-webster.com... =Arguments= The preamble to the constitution states: [1] ""We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness."" The constitution says that ""all men are created equal"", not ""all men are born equal"" this means that at conception all people are guaranteed the right to ""Life, liberty, and the pursuit of happiness"" as a new being is brought into existence, Even at the earliest stages of development, a fetus has it's own unique DNA [2] so the argument that it is part of the mother, and thus her body to do as she pleases is not an argument that holds any water. By aborting an unborn fetus we violate the right to Life, (as they are killed) Liberty, (as they are not given the chance to defend themselves) and the pursuit of happiness (as they cannot pursue anything since they are not alive.) Thus since we alienate the unalienable rights, we violate the constitution. Sources- [1] http://www.ushistory.org... [2] http://www.utilitarian.net... The 19th amendment. - ""all men are created equal"" - The nineteenth amendment gave women equal rights to men, so they are included in this. - My opponent's argument is completely baseless and unwarranted.",3
9bf91405,Abortion should be banned unless it is necessary to save the life of the mother.,"The legalization of abortion in this country has resulted in the deaths of over 40 million unborn babies. This is due to the fact that many people in our society no longer view unborn babies as humans and see them as either part of the mother or not developed enough to be considered human. Genetically, from conception an embryo is separate from the mother. This can be seen through the difference in DNA code of the two beings. After all, is the penis of an unborn son part of the mother? Abortion in our society is similar to slavery, and we should put it in our distant past. Before the Civil War, states allowed for the legalization of slavery because blacks looked different than what ""normal humans"" were known to look like. The institution was upheld by a famous Supreme Court case as well. Furthermore, many people before the Civil War said that they were personally opposed to slavery but didn't believe that they could justifiably apply their morals to others. This argument has been used in the defense of abortion as well. The parallels between slavery and abortion are numerous, and it's time that we learn from history before we repeat the story any further. I added the ""except to save the life of the mother"" part really more to appease those who would say that it should be an exception, though really the only situation that I can think of would be an ectopic pregnancy. To solve that, it does kill the baby, but technically it isn't an abortion, just the removal of a tube. Mainly, I want to make it clear that there would be no exceptions for rape/incest, because the issue hear isn't taking responsibility for ones actions; rather it is out of respect for the sanctity of human life. Glad to see that we're on the same side. Stay strong! Since this arguments must be at least one hundred characters long I was forced to write this sentence.",2
96835f7a,Abortion should be illegal except in the cases where the baby has a deformity or disease or if the mother's life is in danger.,"Alright thanks Ethan. I think that the definitions are blatantly obvious. We all know what abortion is. Illegal... against the law Except... illegal, but these cases are acceptable Severe deformities- Meaning what, like a genetic disease, such as down syndrome. This is the only question I have. Save the mother's life.. I get it, if the mommy's going to die then the baby can be aborted by licensed physicians. No semantics in this debate I presume. The topic is what it is. I will wait for my opponents argument and then post my argument. Your turn... Thank you to my opponent. I am against the topic of Abortion should be made illegal, except in cases of severe deformities and to save the mother's life, for the following reason which is also in direct negation of PRO contention 2 that states ""Abortion is unnecessary--except in the cases listed in the title"" and the reason is... Abortion should be made illegal, except in cases of severe deformities, to save the mother's life, AND FOR VICTIMS OF RAPE. The reason for this is because the victim of the horrendous crime of rape has not chosen to have sexual intercourse and should not incur the consequences of that action. Therefore the mother should not have to keep the child. For this reason I am in the negation for this topic. To my opponent- Kk Rebuttal- ""its life has value, and therefore, I cannot get rid of it."" Does a baby with deformities not have value? Yes their lives do have value. Even though they might not look or talk or understand life like us they still have a life that they can live and have a interaction with others who will care for them and show them affection. So yes their lives do have value, ""and therefore, I cannot get rid of it."" ""if a rape fetus has a FLO, it is immoral to abort it."" No. It does not matter if there is a question of morality. Rape, as I have said before is a case where there is a victim who has not chosen to have sexual intercourse. The woman then has a chose to keep or abort the baby. There is no question of it being right or wrong. To my opponent- Kk Here we go- 1. ""My opponent dropped my defense of both of my contentions."" ""Contention 2: Abortion is unnecessary--except in the cases listed in the title."" I have argued that there are necessary cases that aren't listed in the title, such as rape. 2.""My opponent basically argued MY side with the deformities issue."" It is not just PROs side of the argument but also my side as well. 3. ""He is completely off-base with the rape argument."" ""If someone randomly stuffs a baby in my arms... I have the obligation to take the baby to an orphanage or a police station"" No you do not have any obligation. You did not choose to take in the baby. There is no obligation to do anything for the baby. It is not you baby to take care of, because you did not take the actions to acquire that child. ""The fetus is innocent, and it can't be punished for its father's sins."" Even though the fetus is innocent it doesn't mean that the mother should have to carry the child. The mother did not choose to have the child and is innocent. So the mother... Should not be punished for the rappers sins, in having to be pregnant. She did not make a choice, so then she should be given a choice on whether or not she has an abortion. Thank you to Ethan for the debate and I hope to debate again in the future. That is why you vote CON. -Kk",2
9622a2a1,Abortion should be illegal.,"Hi righty10294, This has been a touchy subject around here, lately. So, i ask that we keep this debate formal, and not let it get out of hand. 1)""Abortion should be outlawed. It is just disgusting how a women can kill their offspring just because she had ""sexy time"" wrong. I don't want to hear the argument, ""what if she got raped."" If she did get raped she should have the baby and the raped pay all losses to the women. Now when she has the baby, alls you have to do is to bring it to a orphanage or a firehouse. How much can that cost you, if you bring it there on the way home from the hospital.""-righty So, its disgusting how a woman can kill her offspring. I'm taking it that you are against condoms and birth control then? When you use a condom you are actually trapping half of a future child in a latex ""glove"". And eventually killing it. Birth control, prevents ovulation, or the producing of eggs.Im wondering how much you know about the process of child bearing. Abortions are (mostly) done in the first trimester (before the 12th week of pregnancy). When the child is still, what some call a blob, and not much of a child. http://www.pregnancy.org... This site provides a week by week analysis of the ""baby"" in the womb. As you can see the fetus does not resemble a human at all, until week seven. So, if an abortion is done, before this time, is it ok? I do find it interesting that you are against the idea of abortion even if a woman got raped. Tell me, say you're married. And your wife comes home one day, and tells you that she was raped. A few weeks later you find out she's pregnant, but not with your child. Are you going to sentence your wife to carry a ""bastard"" child for nine months.Everytime the child ""kicks"" she remembers that moment when she was forced to have sex. Everytime she has to go up in a size of clothing, she feels the emotions rush back to her. Your really going to sentence the woman you love to live nine months of hell, because she was forced to have sex,against her own will? 2)""Also, 1.2% of abortions are with girls who are 15 years oldo. I'm sorry, I'm sorry, that is the parents fault for the girl getting pregnant. They should've been paying attention to what she is doing, and who she is hanging around.""-righty What do you advise the child to do? Continue with the bearing, ruining her body for, she has not yet fully developed, possibly bringing pyshicial conditions that worsen with age? Continue with the bearing, and forcing her to drop out of high school? 80% of pregnant teens are forced to drop out of school. 80%! These woman can never get a self supporting job, and can never have a successful future. Which is worse? Having the opportunity to be successful and it being stripped right from under your nose, or never having the opportunity at all? By not allowing the abortion you've just condemned not only the mother, but the too be child, to a life of poverty and sadness. (source: http://query.nytimes.com... ) 3)""Another thing, if you do bring up rape, that man should be fully prosecouted first. Then he should be fined the amount of money the women lost, so their is no need for abortion.""-righty So, money solves everything? Money takes care of that physical pain that the man put her through, during the rape, child carrying, and birth? Money takes care of the emotional pain she was put through during rape, child caring, and birth? Money takes care of the chances of her family disowning her? What if the man doesn't have any money, or enough to pay for said crimes? What now? Some of the physical effects of rape. "" http://www.healthyplace.com... ; Money takes care of that too? Abortion is not the taking of a child, its not the taking of a life. Its the taking of what WOULD BECOME a life. What harm is there in preventing life? People do it everyday with condoms and birth control. forfeit forfeit",2
a3a76a3f,Abortion should be legal.,"Abortion should not be allowed. The question of ""When does a human life begin"" is the major question asked when debating this topic. Abortion is equivalent to killing, it is aborting a life so what else would it be called. Many people feel that a woman should have the right to make her own decisions bout her body, but shouldn't the right to life overpower that. Abortion is morally wrong. Some people can not raise a child and that is why they do not want to have a child, but there are programs out there that take unwanted children in. Their is no scenario where abortion should be allowed. Every baby should have the right to be born. No one should be able to take a baby's right to life away. Woman should not be allowed to argue their right to their own body over their baby's right to life. Abortion should not be allowed in any circumstance. Thank you, I also look forward to this debate. A human life begins at conception. I brought up my point earlier because many people believe an embryo is not a life. After an egg has been fertilized all human chromosomes are present in the embryo. It is a life, a potential human being who will grow to be able to live on their own. http://www.nrlc.org... The scenario you give me is a ""what if"" scenario."" Something like this has never happened before. When it comes to situations you can't think like this. You could make plenty of other ""what if"" scenarios fore many other topics. This is not the reason abortion is legal though. Abortion is legal because the government feels that it is a woman's right to privacy to do what she wants with her own body. My rebuttal to this is that the right to life should over power a right to privacy. Abortion is equivalent to killing in many peoples opinions. Your source also says a life is ""a characteristic state or mode of living;"" and who is to say a fetus is not a mode or state of living. My point in reference to your scenario is that your only argument against abortion is if a scenario like that happened. Additionally, who is to say if one life is more important then another. It is just like saying if that same man who took 31 people hostage, but wanted to kill one specific person and if he was not turned over everyone else would be killed. It is ridiculous to think like this. A person should not take a stand against something just because one fears a ridiculous scenario will happen. One life is no grater then any other. Abortion is stopping a life. Everyone has a right to life and that should never be taken away no matter what the circumstance may be. Abortion should never be an option. Even if a mother does not want a child, there are places that would take her child in. There is no reason for someone to chose abortion.",2
