id,theme,source,rubric_source,model_used,argument_text,score
4227a025,A monarchy is preferable to any other form of government.,winning_human,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,The First round shall be for acceptance The second...,3
4227a025,A monarchy is preferable to any other form of government.,losing_human,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,I accept this debate and shall prove that their ar...,2
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt5,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,I accept this debate and will show that there are ...,1
4227a025,A monarchy is preferable to any other form of government.,improve_gpt5,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,Monarchy provides a superior framework for governa...,5
4227a025,A monarchy is preferable to any other form of government.,generate_gpt5,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,"Monarchy, properly structured as a constitutional ...",4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt4o,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,I accept this debate and will demonstrate that the...,4
4227a025,A monarchy is preferable to any other form of government.,improve_gpt4o,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,I accept this debate and shall demonstrate that fo...,4
4227a025,A monarchy is preferable to any other form of government.,generate_gpt4o,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,A monarchy is preferable to any other form of gove...,4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_qwen,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,I accept this debate and will demonstrate that alt...,2
4227a025,A monarchy is preferable to any other form of government.,improve_qwen,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,I accept this debate and shall prove that there ar...,3
4227a025,A monarchy is preferable to any other form of government.,generate_qwen,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,I accept this debate and shall prove that other fo...,5
4227a025,A monarchy is preferable to any other form of government.,paraphrase_llama,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,I accept this debate and will demonstrate that alt...,4
4227a025,A monarchy is preferable to any other form of government.,improve_llama,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,I accept this debate and intend to prove that ther...,3
4227a025,A monarchy is preferable to any other form of government.,generate_llama,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,I accept this debate and shall prove that monarchi...,4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_mistral,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,"In this debate, I will argue that there are altern...",4
4227a025,A monarchy is preferable to any other form of government.,improve_mistral,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,"In this debate, I will argue that alternative form...",5
4227a025,A monarchy is preferable to any other form of government.,generate_mistral,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,"In this debate, I advocate for the proposition tha...",3
4227a025,A monarchy is preferable to any other form of government.,paraphrase_sonnet,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,I accept this debate and will demonstrate that oth...,2
4227a025,A monarchy is preferable to any other form of government.,improve_sonnet,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,I accept this debate and will prove that there are...,2
4227a025,A monarchy is preferable to any other form of government.,generate_sonnet,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,I accept this debate and will demonstrate that mul...,5
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gemini,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,The debater accepts the debate and intends to demo...,2
4227a025,A monarchy is preferable to any other form of government.,improve_gemini,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,I accept this debate and will prove that other for...,3
4227a025,A monarchy is preferable to any other form of government.,generate_gemini,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,"Firstly, for societies deeply rooted in spiritual ...",5
ba1c6225,Abortion is a human right.,winning_human,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,Abortion should not be legal through all trimester...,4
ba1c6225,Abortion is a human right.,losing_human,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,Women have a moral right to decide what to do with...,4
ba1c6225,Abortion is a human right.,paraphrase_gpt5,llama.csv,mistralai/Mistral-7B-Instruct-v0.2,Women have a moral prerogative to decide what to d...,4
