id,theme,source,rubric_source,model_used,argument_text,score
4227a025,A monarchy is preferable to any other form of government.,winning_human,mistral.csv,claude-sonnet-4-5-20250929,The First round shall be for acceptance The second...,2
4227a025,A monarchy is preferable to any other form of government.,losing_human,mistral.csv,claude-sonnet-4-5-20250929,I accept this debate and shall prove that their ar...,2
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt5,mistral.csv,claude-sonnet-4-5-20250929,I accept this debate and will show that there are ...,2
4227a025,A monarchy is preferable to any other form of government.,improve_gpt5,mistral.csv,claude-sonnet-4-5-20250929,Monarchy provides a superior framework for governa...,3
4227a025,A monarchy is preferable to any other form of government.,generate_gpt5,mistral.csv,claude-sonnet-4-5-20250929,"Monarchy, properly structured as a constitutional ...",3
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt4o,mistral.csv,claude-sonnet-4-5-20250929,I accept this debate and will demonstrate that the...,2
4227a025,A monarchy is preferable to any other form of government.,improve_gpt4o,mistral.csv,claude-sonnet-4-5-20250929,I accept this debate and shall demonstrate that fo...,2
4227a025,A monarchy is preferable to any other form of government.,generate_gpt4o,mistral.csv,claude-sonnet-4-5-20250929,A monarchy is preferable to any other form of gove...,2
4227a025,A monarchy is preferable to any other form of government.,paraphrase_qwen,mistral.csv,claude-sonnet-4-5-20250929,I accept this debate and will demonstrate that alt...,1
4227a025,A monarchy is preferable to any other form of government.,improve_qwen,mistral.csv,claude-sonnet-4-5-20250929,I accept this debate and shall prove that there ar...,2
4227a025,A monarchy is preferable to any other form of government.,generate_qwen,mistral.csv,claude-sonnet-4-5-20250929,I accept this debate and shall prove that other fo...,3
4227a025,A monarchy is preferable to any other form of government.,paraphrase_llama,mistral.csv,claude-sonnet-4-5-20250929,I accept this debate and will demonstrate that alt...,2
4227a025,A monarchy is preferable to any other form of government.,improve_llama,mistral.csv,claude-sonnet-4-5-20250929,I accept this debate and intend to prove that ther...,2
4227a025,A monarchy is preferable to any other form of government.,generate_llama,mistral.csv,claude-sonnet-4-5-20250929,I accept this debate and shall prove that monarchi...,2
4227a025,A monarchy is preferable to any other form of government.,paraphrase_mistral,mistral.csv,claude-sonnet-4-5-20250929,"In this debate, I will argue that there are altern...",1
4227a025,A monarchy is preferable to any other form of government.,improve_mistral,mistral.csv,claude-sonnet-4-5-20250929,"In this debate, I will argue that alternative form...",1
4227a025,A monarchy is preferable to any other form of government.,generate_mistral,mistral.csv,claude-sonnet-4-5-20250929,"In this debate, I advocate for the proposition tha...",1
4227a025,A monarchy is preferable to any other form of government.,paraphrase_sonnet,mistral.csv,claude-sonnet-4-5-20250929,I accept this debate and will demonstrate that oth...,1
4227a025,A monarchy is preferable to any other form of government.,improve_sonnet,mistral.csv,claude-sonnet-4-5-20250929,I accept this debate and will prove that there are...,2
4227a025,A monarchy is preferable to any other form of government.,generate_sonnet,mistral.csv,claude-sonnet-4-5-20250929,I accept this debate and will demonstrate that mul...,2
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gemini,mistral.csv,claude-sonnet-4-5-20250929,The debater accepts the debate and intends to demo...,2
4227a025,A monarchy is preferable to any other form of government.,improve_gemini,mistral.csv,claude-sonnet-4-5-20250929,I accept this debate and will prove that other for...,2
4227a025,A monarchy is preferable to any other form of government.,generate_gemini,mistral.csv,claude-sonnet-4-5-20250929,"Firstly, for societies deeply rooted in spiritual ...",3
ba1c6225,Abortion is a human right.,winning_human,mistral.csv,claude-sonnet-4-5-20250929,Abortion should not be legal through all trimester...,2
ba1c6225,Abortion is a human right.,losing_human,mistral.csv,claude-sonnet-4-5-20250929,Women have a moral right to decide what to do with...,2
ba1c6225,Abortion is a human right.,paraphrase_gpt5,mistral.csv,claude-sonnet-4-5-20250929,Women have a moral prerogative to decide what to d...,3
ba1c6225,Abortion is a human right.,improve_gpt5,mistral.csv,claude-sonnet-4-5-20250929,Abortion is a fundamental human right because it s...,3
ba1c6225,Abortion is a human right.,generate_gpt5,mistral.csv,claude-sonnet-4-5-20250929,Abortion is a human right because it is rooted in ...,3
ba1c6225,Abortion is a human right.,paraphrase_gpt4o,mistral.csv,claude-sonnet-4-5-20250929,Women possess a fundamental moral authority to det...,3
ba1c6225,Abortion is a human right.,improve_gpt4o,mistral.csv,claude-sonnet-4-5-20250929,Women possess an inherent moral right to govern th...,3
ba1c6225,Abortion is a human right.,generate_gpt4o,mistral.csv,claude-sonnet-4-5-20250929,Abortion is a human right because it fundamentally...,2
ba1c6225,Abortion is a human right.,paraphrase_qwen,mistral.csv,claude-sonnet-4-5-20250929,Women possess a moral right to autonomy over their...,2
ba1c6225,Abortion is a human right.,improve_qwen,mistral.csv,claude-sonnet-4-5-20250929,Women have a moral right to decide what to do with...,2
ba1c6225,Abortion is a human right.,generate_qwen,mistral.csv,claude-sonnet-4-5-20250929,Women’s right to bodily autonomy is a fundamental ...,3
