id,theme,source,rubric_source,model_used,argument_text,score
4227a025,A monarchy is preferable to any other form of government.,winning_human,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,The First round shall be for acceptance The second...,"Based on the rubric, I would assign a"
4227a025,A monarchy is preferable to any other form of government.,losing_human,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and shall prove that their ar...,2
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt5,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will show that there are ...,"Based on the rubric, I would assign a"
4227a025,A monarchy is preferable to any other form of government.,improve_gpt5,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Monarchy provides a superior framework for governa...,4
4227a025,A monarchy is preferable to any other form of government.,generate_gpt5,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,"Monarchy, properly structured as a constitutional ...",4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt4o,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will demonstrate that the...,"Based on the rubric, I would assign a"
4227a025,A monarchy is preferable to any other form of government.,improve_gpt4o,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and shall demonstrate that fo...,2
4227a025,A monarchy is preferable to any other form of government.,generate_gpt4o,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,A monarchy is preferable to any other form of gove...,"Based on the rubric, I would assign a"
4227a025,A monarchy is preferable to any other form of government.,paraphrase_qwen,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will demonstrate that alt...,"Based on the rubric, I assign a score"
4227a025,A monarchy is preferable to any other form of government.,improve_qwen,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and shall prove that there ar...,"Based on the rubric, I would assign a"
4227a025,A monarchy is preferable to any other form of government.,generate_qwen,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and shall prove that other fo...,4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_llama,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will demonstrate that alt...,"Based on the rubric, I would assign a"
4227a025,A monarchy is preferable to any other form of government.,improve_llama,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and intend to prove that ther...,"Based on the rubric, I assign a score"
4227a025,A monarchy is preferable to any other form of government.,generate_llama,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and shall prove that monarchi...,"Based on the rubric, I would assign a"
4227a025,A monarchy is preferable to any other form of government.,paraphrase_mistral,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,"In this debate, I will argue that there are altern...","Based on the rubric, I assign a score"
4227a025,A monarchy is preferable to any other form of government.,improve_mistral,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,"In this debate, I will argue that alternative form...",2
4227a025,A monarchy is preferable to any other form of government.,generate_mistral,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,"In this debate, I advocate for the proposition tha...","Based on the rubric, I assign a score"
4227a025,A monarchy is preferable to any other form of government.,paraphrase_sonnet,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will demonstrate that oth...,"Based on the rubric, I would assign a"
4227a025,A monarchy is preferable to any other form of government.,improve_sonnet,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will prove that there are...,2
4227a025,A monarchy is preferable to any other form of government.,generate_sonnet,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will demonstrate that mul...,"Based on the rubric, I assign a score"
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gemini,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,The debater accepts the debate and intends to demo...,"Based on the rubric, I assign a score"
4227a025,A monarchy is preferable to any other form of government.,improve_gemini,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,I accept this debate and will prove that other for...,"Based on the rubric, I assign a score"
4227a025,A monarchy is preferable to any other form of government.,generate_gemini,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,"Firstly, for societies deeply rooted in spiritual ...","Based on the rubric, I would assign a"
ba1c6225,Abortion is a human right.,winning_human,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Abortion should not be legal through all trimester...,"Based on the rubric, I assign a score"
ba1c6225,Abortion is a human right.,losing_human,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women have a moral right to decide what to do with...,4
ba1c6225,Abortion is a human right.,paraphrase_gpt5,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women have a moral prerogative to decide what to d...,4
ba1c6225,Abortion is a human right.,improve_gpt5,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Abortion is a fundamental human right because it s...,4
ba1c6225,Abortion is a human right.,generate_gpt5,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Abortion is a human right because it is rooted in ...,4
ba1c6225,Abortion is a human right.,paraphrase_gpt4o,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women possess a fundamental moral authority to det...,4
ba1c6225,Abortion is a human right.,improve_gpt4o,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women possess an inherent moral right to govern th...,4
ba1c6225,Abortion is a human right.,generate_gpt4o,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Abortion is a human right because it fundamentally...,4
ba1c6225,Abortion is a human right.,paraphrase_qwen,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women possess a moral right to autonomy over their...,4
ba1c6225,Abortion is a human right.,improve_qwen,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women have a moral right to decide what to do with...,4
ba1c6225,Abortion is a human right.,generate_qwen,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women’s right to bodily autonomy is a fundamental ...,4
ba1c6225,Abortion is a human right.,paraphrase_llama,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women have a fundamental right to determine what h...,4
ba1c6225,Abortion is a human right.,improve_llama,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women have a fundamental moral right to decide wha...,4
ba1c6225,Abortion is a human right.,generate_llama,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,The right to abortion is an essential component of...,"Based on the rubric, I would assign a"
ba1c6225,Abortion is a human right.,paraphrase_mistral,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,The fundamental right of women to determine what h...,"Based on the rubric, I would assign a"
ba1c6225,Abortion is a human right.,improve_mistral,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,The fundamental moral right of women to determine ...,4
ba1c6225,Abortion is a human right.,generate_mistral,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,The fundamental principle of bodily autonomy under...,4
ba1c6225,Abortion is a human right.,paraphrase_sonnet,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women possess a moral entitlement to make choices ...,"Based on the rubric, I would assign a"
ba1c6225,Abortion is a human right.,improve_sonnet,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women have a moral right to decide what to do with...,4
ba1c6225,Abortion is a human right.,generate_sonnet,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,The right to abortion is fundamentally about bodil...,4
ba1c6225,Abortion is a human right.,paraphrase_gemini,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women possess a moral right to make choices concer...,4
ba1c6225,Abortion is a human right.,improve_gemini,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Women possess a fundamental moral right to bodily ...,4
ba1c6225,Abortion is a human right.,generate_gemini,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,The right to control one's own body is the most fu...,4
4c715ae3,Abortion is an inalienable right.,winning_human,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,"Abortion is a right, but that right, like any righ...",1
4c715ae3,Abortion is an inalienable right.,losing_human,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Abortion is an inalienable right. Abortion is not ...,1
4c715ae3,Abortion is an inalienable right.,paraphrase_gpt5,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Abortion is an inalienable right because no one ha...,4
4c715ae3,Abortion is an inalienable right.,improve_gpt5,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Abortion is an inalienable right because bodily au...,4
4c715ae3,Abortion is an inalienable right.,generate_gpt5,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Abortion is an inalienable right because it rests ...,4
4c715ae3,Abortion is an inalienable right.,paraphrase_gpt4o,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,The right to abortion is fundamental and inalienab...,4
4c715ae3,Abortion is an inalienable right.,improve_gpt4o,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Abortion is an inalienable right. It is crucial to...,4
4c715ae3,Abortion is an inalienable right.,generate_gpt4o,sonnet.csv,meta-llama/Meta-Llama-3-8B-Instruct-Lite,Abortion is an inalienable right because it fundam...,4
