row_id,topic,A_source,B_source,N1_raw,S1_raw,N2_raw,S2_raw,N3_raw,chosen_N1,chosen_S1,chosen_N2,chosen_S2,chosen_N3,majority_source,majority_count_of_5,normal_consistent,order_influenced_decision
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_mistral,2,1,2,1,2,losing_generate_mistral,losing_generate_mistral,losing_generate_mistral,losing_generate_mistral,losing_generate_mistral,losing_generate_mistral,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_llama,2,1,2,1,2,losing_generate_llama,losing_generate_llama,losing_generate_llama,losing_generate_llama,losing_generate_llama,losing_generate_llama,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_claude,2,1,2,1,2,losing_generate_claude,losing_generate_claude,losing_generate_claude,losing_generate_claude,losing_generate_claude,losing_generate_claude,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_text,1,2,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_gpt4omini,2,1,2,1,2,losing_generate_gpt4omini,losing_generate_gpt4omini,losing_generate_gpt4omini,losing_generate_gpt4omini,losing_generate_gpt4omini,losing_generate_gpt4omini,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_gpt5nano,2,1,2,1,2,losing_generate_gpt5nano,losing_generate_gpt5nano,losing_generate_gpt5nano,losing_generate_gpt5nano,losing_generate_gpt5nano,losing_generate_gpt5nano,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_gemini,2,1,2,1,2,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_generate_qwen,"2

Comment 1 does",2,"2

Comment 1 does",2,"2

Comment 1 does",Ambig,winning_text,Ambig,winning_text,Ambig,winning_text,2,Yes,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_claude,2,1,2,1,2,losing_improve_claude,losing_improve_claude,losing_improve_claude,losing_improve_claude,losing_improve_claude,losing_improve_claude,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_qwen,1,2,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_gpt4omini,2,1,2,1,2,losing_improve_gpt4omini,losing_improve_gpt4omini,losing_improve_gpt4omini,losing_improve_gpt4omini,losing_improve_gpt4omini,losing_improve_gpt4omini,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_gpt5nano,2,1,2,1,2,losing_improve_gpt5nano,losing_improve_gpt5nano,losing_improve_gpt5nano,losing_improve_gpt5nano,losing_improve_gpt5nano,losing_improve_gpt5nano,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_gemini,2,1,2,1,2,losing_improve_gemini,losing_improve_gemini,losing_improve_gemini,losing_improve_gemini,losing_improve_gemini,losing_improve_gemini,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_mistral,2,1,2,1,2,losing_improve_mistral,losing_improve_mistral,losing_improve_mistral,losing_improve_mistral,losing_improve_mistral,losing_improve_mistral,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_improve_llama,1,1,1,1,1,winning_text,losing_improve_llama,winning_text,losing_improve_llama,winning_text,winning_text,3,Yes,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_paraphrase_claude,"2

Confidence:",2,"2

Confidence:",2,"2

Confidence:",losing_paraphrase_claude,winning_text,losing_paraphrase_claude,winning_text,losing_paraphrase_claude,losing_paraphrase_claude,3,Yes,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_paraphrase_gemini,1,2,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_paraphrase_gpt5nano,1,2,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_paraphrase_llama,1,2,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_paraphrase_qwen,1,2,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_paraphrase_gpt4omini,1,2,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,winning_text,losing_paraphrase_mistral,1,2,1,2,1,winning_text,winning_text,winning_text,winning_text,winning_text,winning_text,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_generate_gemini,2,1,2,1,2,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,losing_generate_gemini,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_generate_claude,2,1,2,1,2,losing_generate_claude,losing_generate_claude,losing_generate_claude,losing_generate_claude,losing_generate_claude,losing_generate_claude,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_generate_gpt4omini,2,1,2,1,2,losing_generate_gpt4omini,losing_generate_gpt4omini,losing_generate_gpt4omini,losing_generate_gpt4omini,losing_generate_gpt4omini,losing_generate_gpt4omini,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_generate_llama,2,1,2,1,2,losing_generate_llama,losing_generate_llama,losing_generate_llama,losing_generate_llama,losing_generate_llama,losing_generate_llama,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_generate_gpt5nano,2,1,2,1,2,losing_generate_gpt5nano,losing_generate_gpt5nano,losing_generate_gpt5nano,losing_generate_gpt5nano,losing_generate_gpt5nano,losing_generate_gpt5nano,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_generate_mistral,2,1,2,1,2,losing_generate_mistral,losing_generate_mistral,losing_generate_mistral,losing_generate_mistral,losing_generate_mistral,losing_generate_mistral,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_improve_claude,"2

The second comment is",1,2 is the better reply. This,1,"2

Comment 2 is",losing_improve_claude,losing_improve_claude,losing_improve_claude,losing_improve_claude,losing_improve_claude,losing_improve_claude,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_generate_qwen,"2

Comment 2 is","1

Comment 1 is","2

Comment 2 is","1

Comment 1 is","2

Comment 2 is",losing_generate_qwen,losing_generate_qwen,losing_generate_qwen,losing_generate_qwen,losing_generate_qwen,losing_generate_qwen,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_improve_gpt4omini,2,1,"2

The second comment is",1,"2

Comment 2 is",losing_improve_gpt4omini,losing_improve_gpt4omini,losing_improve_gpt4omini,losing_improve_gpt4omini,losing_improve_gpt4omini,losing_improve_gpt4omini,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_improve_gemini,"2

Comment 2 is",1,2,1,"2

Comment 2 is",losing_improve_gemini,losing_improve_gemini,losing_improve_gemini,losing_improve_gemini,losing_improve_gemini,losing_improve_gemini,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_improve_gpt5nano,2,1,2,1,2,losing_improve_gpt5nano,losing_improve_gpt5nano,losing_improve_gpt5nano,losing_improve_gpt5nano,losing_improve_gpt5nano,losing_improve_gpt5nano,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_improve_llama,2,1,2,1,2,losing_improve_llama,losing_improve_llama,losing_improve_llama,losing_improve_llama,losing_improve_llama,losing_improve_llama,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_improve_mistral,2,1,2,1,2,losing_improve_mistral,losing_improve_mistral,losing_improve_mistral,losing_improve_mistral,losing_improve_mistral,losing_improve_mistral,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_improve_qwen,2,1,2,1,2,losing_improve_qwen,losing_improve_qwen,losing_improve_qwen,losing_improve_qwen,losing_improve_qwen,losing_improve_qwen,5,Yes,No
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_paraphrase_claude,"2

Comment 2 is","2

Comment 2 is","2

Comment 2 is","2

Comment 2 is","2

Comment 2 is",losing_paraphrase_claude,losing_text,losing_paraphrase_claude,losing_text,losing_paraphrase_claude,losing_paraphrase_claude,3,Yes,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_paraphrase_gemini,This is a challenging task because the two,"The forum post topic is ""askac",This is a challenging task because neither of,1 is the better reply as it,"The forum post topic is ""askac",Ambig,Ambig,Ambig,losing_paraphrase_gemini,Ambig,losing_paraphrase_gemini,1,Yes,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_paraphrase_gpt4omini,"2

Comment 2 is",Both comments are somewhat relevant to the post,"2

Comment 2 is",Both comments are somewhat related to the topic,"2

Comment 2 is",losing_paraphrase_gpt4omini,Ambig,losing_paraphrase_gpt4omini,Ambig,losing_paraphrase_gpt4omini,losing_paraphrase_gpt4omini,3,Yes,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_paraphrase_gpt5nano,Both comment 1 and comment 2,"2

Comment 2 is",Both comment 1 and comment 2,"2

Comment 2 is",Both comment 1 and comment 2,Ambig,losing_text,Ambig,losing_text,Ambig,losing_text,2,Yes,Yes
e7a62f1b-e53f-4d94-aebc-f6c82d7a09e8,askacademia_train,losing_text,losing_paraphrase_mistral,"2

The second comment is",Both comments are somewhat related to the topic,"2

The second comment is",Both comments are somewhat related to the topic,"2

The second comment is",losing_paraphrase_mistral,Ambig,losing_paraphrase_mistral,Ambig,losing_paraphrase_mistral,losing_paraphrase_mistral,3,Yes,Yes
