id,theme,source,rubric_source,model_used,argument_text,score
4227a025,A monarchy is preferable to any other form of government.,winning_human,sonnet.csv,gpt-4o-mini,The First round shall be for acceptance The second...,2
4227a025,A monarchy is preferable to any other form of government.,losing_human,sonnet.csv,gpt-4o-mini,I accept this debate and shall prove that their ar...,1
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt5,sonnet.csv,gpt-4o-mini,I accept this debate and will show that there are ...,2
4227a025,A monarchy is preferable to any other form of government.,improve_gpt5,sonnet.csv,gpt-4o-mini,Monarchy provides a superior framework for governa...,4
4227a025,A monarchy is preferable to any other form of government.,generate_gpt5,sonnet.csv,gpt-4o-mini,"Monarchy, properly structured as a constitutional ...",4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt4o,sonnet.csv,gpt-4o-mini,I accept this debate and will demonstrate that the...,2
4227a025,A monarchy is preferable to any other form of government.,improve_gpt4o,sonnet.csv,gpt-4o-mini,I accept this debate and shall demonstrate that fo...,3
4227a025,A monarchy is preferable to any other form of government.,generate_gpt4o,sonnet.csv,gpt-4o-mini,A monarchy is preferable to any other form of gove...,4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_qwen,sonnet.csv,gpt-4o-mini,I accept this debate and will demonstrate that alt...,2
4227a025,A monarchy is preferable to any other form of government.,improve_qwen,sonnet.csv,gpt-4o-mini,I accept this debate and shall prove that there ar...,2
4227a025,A monarchy is preferable to any other form of government.,generate_qwen,sonnet.csv,gpt-4o-mini,I accept this debate and shall prove that other fo...,4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_llama,sonnet.csv,gpt-4o-mini,I accept this debate and will demonstrate that alt...,2
4227a025,A monarchy is preferable to any other form of government.,improve_llama,sonnet.csv,gpt-4o-mini,I accept this debate and intend to prove that ther...,2
4227a025,A monarchy is preferable to any other form of government.,generate_llama,sonnet.csv,gpt-4o-mini,I accept this debate and shall prove that monarchi...,2
4227a025,A monarchy is preferable to any other form of government.,paraphrase_mistral,sonnet.csv,gpt-4o-mini,"In this debate, I will argue that there are altern...",2
4227a025,A monarchy is preferable to any other form of government.,improve_mistral,sonnet.csv,gpt-4o-mini,"In this debate, I will argue that alternative form...",2
4227a025,A monarchy is preferable to any other form of government.,generate_mistral,sonnet.csv,gpt-4o-mini,"In this debate, I advocate for the proposition tha...",2
4227a025,A monarchy is preferable to any other form of government.,paraphrase_sonnet,sonnet.csv,gpt-4o-mini,I accept this debate and will demonstrate that oth...,2
4227a025,A monarchy is preferable to any other form of government.,improve_sonnet,sonnet.csv,gpt-4o-mini,I accept this debate and will prove that there are...,2
4227a025,A monarchy is preferable to any other form of government.,generate_sonnet,sonnet.csv,gpt-4o-mini,I accept this debate and will demonstrate that mul...,4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gemini,sonnet.csv,gpt-4o-mini,The debater accepts the debate and intends to demo...,2
4227a025,A monarchy is preferable to any other form of government.,improve_gemini,sonnet.csv,gpt-4o-mini,I accept this debate and will prove that other for...,2
4227a025,A monarchy is preferable to any other form of government.,generate_gemini,sonnet.csv,gpt-4o-mini,"Firstly, for societies deeply rooted in spiritual ...",2
ba1c6225,Abortion is a human right.,winning_human,sonnet.csv,gpt-4o-mini,Abortion should not be legal through all trimester...,2
ba1c6225,Abortion is a human right.,losing_human,sonnet.csv,gpt-4o-mini,Women have a moral right to decide what to do with...,4
ba1c6225,Abortion is a human right.,paraphrase_gpt5,sonnet.csv,gpt-4o-mini,Women have a moral prerogative to decide what to d...,4
ba1c6225,Abortion is a human right.,improve_gpt5,sonnet.csv,gpt-4o-mini,Abortion is a fundamental human right because it s...,5
ba1c6225,Abortion is a human right.,generate_gpt5,sonnet.csv,gpt-4o-mini,Abortion is a human right because it is rooted in ...,5
ba1c6225,Abortion is a human right.,paraphrase_gpt4o,sonnet.csv,gpt-4o-mini,Women possess a fundamental moral authority to det...,4
ba1c6225,Abortion is a human right.,improve_gpt4o,sonnet.csv,gpt-4o-mini,Women possess an inherent moral right to govern th...,5
ba1c6225,Abortion is a human right.,generate_gpt4o,sonnet.csv,gpt-4o-mini,Abortion is a human right because it fundamentally...,4
ba1c6225,Abortion is a human right.,paraphrase_qwen,sonnet.csv,gpt-4o-mini,Women possess a moral right to autonomy over their...,4
ba1c6225,Abortion is a human right.,improve_qwen,sonnet.csv,gpt-4o-mini,Women have a moral right to decide what to do with...,4
ba1c6225,Abortion is a human right.,generate_qwen,sonnet.csv,gpt-4o-mini,Women’s right to bodily autonomy is a fundamental ...,5
ba1c6225,Abortion is a human right.,paraphrase_llama,sonnet.csv,gpt-4o-mini,Women have a fundamental right to determine what h...,4
ba1c6225,Abortion is a human right.,improve_llama,sonnet.csv,gpt-4o-mini,Women have a fundamental moral right to decide wha...,4
ba1c6225,Abortion is a human right.,generate_llama,sonnet.csv,gpt-4o-mini,The right to abortion is an essential component of...,4
ba1c6225,Abortion is a human right.,paraphrase_mistral,sonnet.csv,gpt-4o-mini,The fundamental right of women to determine what h...,4
ba1c6225,Abortion is a human right.,improve_mistral,sonnet.csv,gpt-4o-mini,The fundamental moral right of women to determine ...,4
ba1c6225,Abortion is a human right.,generate_mistral,sonnet.csv,gpt-4o-mini,The fundamental principle of bodily autonomy under...,4
ba1c6225,Abortion is a human right.,paraphrase_sonnet,sonnet.csv,gpt-4o-mini,Women possess a moral entitlement to make choices ...,4
ba1c6225,Abortion is a human right.,improve_sonnet,sonnet.csv,gpt-4o-mini,Women have a moral right to decide what to do with...,4
ba1c6225,Abortion is a human right.,generate_sonnet,sonnet.csv,gpt-4o-mini,The right to abortion is fundamentally about bodil...,5
ba1c6225,Abortion is a human right.,paraphrase_gemini,sonnet.csv,gpt-4o-mini,Women possess a moral right to make choices concer...,4
ba1c6225,Abortion is a human right.,improve_gemini,sonnet.csv,gpt-4o-mini,Women possess a fundamental moral right to bodily ...,4
ba1c6225,Abortion is a human right.,generate_gemini,sonnet.csv,gpt-4o-mini,The right to control one's own body is the most fu...,5
4c715ae3,Abortion is an inalienable right.,winning_human,sonnet.csv,gpt-4o-mini,"Abortion is a right, but that right, like any righ...",1
4c715ae3,Abortion is an inalienable right.,losing_human,sonnet.csv,gpt-4o-mini,Abortion is an inalienable right. Abortion is not ...,2
4c715ae3,Abortion is an inalienable right.,paraphrase_gpt5,sonnet.csv,gpt-4o-mini,Abortion is an inalienable right because no one ha...,4
4c715ae3,Abortion is an inalienable right.,improve_gpt5,sonnet.csv,gpt-4o-mini,Abortion is an inalienable right because bodily au...,5
4c715ae3,Abortion is an inalienable right.,generate_gpt5,sonnet.csv,gpt-4o-mini,Abortion is an inalienable right because it rests ...,5
4c715ae3,Abortion is an inalienable right.,paraphrase_gpt4o,sonnet.csv,gpt-4o-mini,The right to abortion is fundamental and inalienab...,4
4c715ae3,Abortion is an inalienable right.,improve_gpt4o,sonnet.csv,gpt-4o-mini,Abortion is an inalienable right. It is crucial to...,4
4c715ae3,Abortion is an inalienable right.,generate_gpt4o,sonnet.csv,gpt-4o-mini,Abortion is an inalienable right because it fundam...,4
4c715ae3,Abortion is an inalienable right.,paraphrase_qwen,sonnet.csv,gpt-4o-mini,Abortion is a fundamental right that cannot be sur...,4
4c715ae3,Abortion is an inalienable right.,improve_qwen,sonnet.csv,gpt-4o-mini,Abortion is an inalienable right. Abortion does no...,4
4c715ae3,Abortion is an inalienable right.,generate_qwen,sonnet.csv,gpt-4o-mini,Abortion is an inalienable right rooted in the fun...,5
4c715ae3,Abortion is an inalienable right.,paraphrase_llama,sonnet.csv,gpt-4o-mini,Abortion is an inherent right that cannot be taken...,4
4c715ae3,Abortion is an inalienable right.,improve_llama,sonnet.csv,gpt-4o-mini,Abortion is an inalienable right. This is because ...,4
4c715ae3,Abortion is an inalienable right.,generate_llama,sonnet.csv,gpt-4o-mini,The notion that abortion is an inalienable right s...,4
4c715ae3,Abortion is an inalienable right.,paraphrase_mistral,sonnet.csv,gpt-4o-mini,Abortion is an inherent right that cannot be surre...,2
4c715ae3,Abortion is an inalienable right.,improve_mistral,sonnet.csv,gpt-4o-mini,"Abortion is an inalienable right, as defined by Mo...",3
