row_id,A_source,B_source,first_final_answer,swapped_final_answer,chosen_source_direct,chosen_source_reversed,order_influenced_decision
17,winning_human,losing_human,2,2,losing_human,winning_human,Yes
18,winning_human,losing_human,2,2,losing_human,winning_human,Yes
19,winning_human,losing_human,2,2,losing_human,winning_human,Yes
20,winning_human,losing_human,1,2,winning_human,winning_human,No
21,winning_human,losing_human,2,1,losing_human,losing_human,No
22,winning_human,losing_human,2,1,losing_human,losing_human,No
23,winning_human,losing_human,2,2,losing_human,winning_human,Yes
25,winning_human,losing_human,2,2,losing_human,winning_human,Yes
26,winning_human,losing_human,2,2,losing_human,winning_human,Yes
27,winning_human,losing_human,2,2,losing_human,winning_human,Yes
28,winning_human,losing_human,1,2,winning_human,winning_human,No
29,winning_human,losing_human,2,1,losing_human,losing_human,No
30,winning_human,losing_human,2,1,losing_human,losing_human,No
31,winning_human,losing_human,2,2,losing_human,winning_human,Yes
32,winning_human,losing_human,2,2,losing_human,winning_human,Yes
33,winning_human,losing_human,2,1,losing_human,losing_human,No
34,winning_human,losing_human,2,2,losing_human,winning_human,Yes
35,winning_human,losing_human,2,1,losing_human,losing_human,No
36,winning_human,losing_human,2,1,losing_human,losing_human,No
37,winning_human,losing_human,2,2,losing_human,winning_human,Yes
38,winning_human,losing_human,2,2,losing_human,winning_human,Yes
40,winning_human,losing_human,2,2,losing_human,winning_human,Yes
41,winning_human,losing_human,2,1,losing_human,losing_human,No
42,winning_human,losing_human,2,2,losing_human,winning_human,Yes
43,winning_human,losing_human,2,1,losing_human,losing_human,No
44,winning_human,losing_human,2,1,losing_human,losing_human,No
45,winning_human,losing_human,2,2,losing_human,winning_human,Yes
46,winning_human,losing_human,1,2,winning_human,winning_human,No
47,winning_human,losing_human,2,2,losing_human,winning_human,Yes
48,winning_human,losing_human,2,1,losing_human,losing_human,No
49,winning_human,losing_human,1,2,winning_human,winning_human,No
50,winning_human,losing_human,1,2,winning_human,winning_human,No
51,winning_human,losing_human,1,2,winning_human,winning_human,No
52,winning_human,losing_human,2,2,losing_human,winning_human,Yes
54,winning_human,losing_human,1,2,winning_human,winning_human,No
55,winning_human,losing_human,2,2,losing_human,winning_human,Yes
56,winning_human,losing_human,2,1,losing_human,losing_human,No
