id,theme,argument,answer
4227a025,A monarchy is preferable to any other form of government.,winning_text,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,No
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt5,No
4227a025,A monarchy is preferable to any other form of government.,improve_gpt5,No
4227a025,A monarchy is preferable to any other form of government.,generate_gpt5,No
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt4o,No
4227a025,A monarchy is preferable to any other form of government.,improve_gpt4o,No
4227a025,A monarchy is preferable to any other form of government.,generate_gpt4o,Yes.
4227a025,A monarchy is preferable to any other form of government.,paraphrase_mistral,No
4227a025,A monarchy is preferable to any other form of government.,improve_mistral,No
4227a025,A monarchy is preferable to any other form of government.,generate_mistral,No
4227a025,A monarchy is preferable to any other form of government.,paraphrase_llama,No
4227a025,A monarchy is preferable to any other form of government.,improve_llama,No
4227a025,A monarchy is preferable to any other form of government.,generate_llama,No
4227a025,A monarchy is preferable to any other form of government.,paraphrase_qwen,Yes
4227a025,A monarchy is preferable to any other form of government.,improve_qwen,No
4227a025,A monarchy is preferable to any other form of government.,generate_qwen,No
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gemini,No
4227a025,A monarchy is preferable to any other form of government.,improve_gemini,No
4227a025,A monarchy is preferable to any other form of government.,generate_gemini,No
4227a025,A monarchy is preferable to any other form of government.,paraphrase_sonnet,No
4227a025,A monarchy is preferable to any other form of government.,improve_sonnet,No
4227a025,A monarchy is preferable to any other form of government.,generate_sonnet,No
ba1c6225,Abortion is a human right.,winning_text,No
ba1c6225,Abortion is a human right.,losing_text,No
ba1c6225,Abortion is a human right.,paraphrase_gpt5,No
ba1c6225,Abortion is a human right.,improve_gpt5,No
ba1c6225,Abortion is a human right.,generate_gpt5,No
ba1c6225,Abortion is a human right.,paraphrase_gpt4o,No
ba1c6225,Abortion is a human right.,improve_gpt4o,No
ba1c6225,Abortion is a human right.,generate_gpt4o,No
ba1c6225,Abortion is a human right.,paraphrase_mistral,No
ba1c6225,Abortion is a human right.,improve_mistral,Yes.
ba1c6225,Abortion is a human right.,generate_mistral,No
ba1c6225,Abortion is a human right.,paraphrase_llama,No
ba1c6225,Abortion is a human right.,improve_llama,No
ba1c6225,Abortion is a human right.,generate_llama,Yes
ba1c6225,Abortion is a human right.,paraphrase_qwen,No
ba1c6225,Abortion is a human right.,improve_qwen,No
ba1c6225,Abortion is a human right.,generate_qwen,No
ba1c6225,Abortion is a human right.,paraphrase_gemini,No
ba1c6225,Abortion is a human right.,improve_gemini,No
ba1c6225,Abortion is a human right.,generate_gemini,No
ba1c6225,Abortion is a human right.,paraphrase_sonnet,No
ba1c6225,Abortion is a human right.,improve_sonnet,Yes
ba1c6225,Abortion is a human right.,generate_sonnet,No
4c715ae3,Abortion is an inalienable right.,winning_text,No
4c715ae3,Abortion is an inalienable right.,losing_text,No
4c715ae3,Abortion is an inalienable right.,paraphrase_gpt5,No
4c715ae3,Abortion is an inalienable right.,improve_gpt5,Yes
4c715ae3,Abortion is an inalienable right.,generate_gpt5,No
4c715ae3,Abortion is an inalienable right.,paraphrase_gpt4o,Yes
4c715ae3,Abortion is an inalienable right.,improve_gpt4o,No
4c715ae3,Abortion is an inalienable right.,generate_gpt4o,Yes
4c715ae3,Abortion is an inalienable right.,paraphrase_mistral,No
4c715ae3,Abortion is an inalienable right.,improve_mistral,No
4c715ae3,Abortion is an inalienable right.,generate_mistral,No
4c715ae3,Abortion is an inalienable right.,paraphrase_llama,No
4c715ae3,Abortion is an inalienable right.,improve_llama,No
4c715ae3,Abortion is an inalienable right.,generate_llama,Yes.
4c715ae3,Abortion is an inalienable right.,paraphrase_qwen,No
4c715ae3,Abortion is an inalienable right.,improve_qwen,No
4c715ae3,Abortion is an inalienable right.,generate_qwen,No
4c715ae3,Abortion is an inalienable right.,paraphrase_gemini,No
4c715ae3,Abortion is an inalienable right.,improve_gemini,No
4c715ae3,Abortion is an inalienable right.,generate_gemini,No
4c715ae3,Abortion is an inalienable right.,paraphrase_sonnet,No
4c715ae3,Abortion is an inalienable right.,improve_sonnet,Yes.
4c715ae3,Abortion is an inalienable right.,generate_sonnet,Yes
91effc2d,Abortion is not murder.,winning_text,No
91effc2d,Abortion is not murder.,losing_text,No.
91effc2d,Abortion is not murder.,paraphrase_gpt5,No
91effc2d,Abortion is not murder.,improve_gpt5,No
91effc2d,Abortion is not murder.,generate_gpt5,No
91effc2d,Abortion is not murder.,paraphrase_gpt4o,No
91effc2d,Abortion is not murder.,improve_gpt4o,No
91effc2d,Abortion is not murder.,generate_gpt4o,No
91effc2d,Abortion is not murder.,paraphrase_mistral,No.
91effc2d,Abortion is not murder.,improve_mistral,No
91effc2d,Abortion is not murder.,generate_mistral,Yes.
91effc2d,Abortion is not murder.,paraphrase_llama,Yes
91effc2d,Abortion is not murder.,improve_llama,Yes.
91effc2d,Abortion is not murder.,generate_llama,No
91effc2d,Abortion is not murder.,paraphrase_qwen,No
91effc2d,Abortion is not murder.,improve_qwen,No
91effc2d,Abortion is not murder.,generate_qwen,No
91effc2d,Abortion is not murder.,paraphrase_gemini,No
91effc2d,Abortion is not murder.,improve_gemini,No
91effc2d,Abortion is not murder.,generate_gemini,Yes.
9485765e,Abortion is sometimes justifiable.,winning_text,No
9485765e,Abortion is sometimes justifiable.,losing_text,No
9485765e,Abortion is sometimes justifiable.,paraphrase_gpt5,No
9485765e,Abortion is sometimes justifiable.,improve_gpt5,No
9485765e,Abortion is sometimes justifiable.,generate_gpt5,Yes
9485765e,Abortion is sometimes justifiable.,paraphrase_gpt4o,No
9485765e,Abortion is sometimes justifiable.,improve_gpt4o,No
9485765e,Abortion is sometimes justifiable.,generate_gpt4o,No
9485765e,Abortion is sometimes justifiable.,paraphrase_mistral,No
9485765e,Abortion is sometimes justifiable.,improve_mistral,No
9485765e,Abortion is sometimes justifiable.,generate_mistral,No
9485765e,Abortion is sometimes justifiable.,paraphrase_llama,No
9485765e,Abortion is sometimes justifiable.,improve_llama,No
9485765e,Abortion is sometimes justifiable.,generate_llama,Yes
9485765e,Abortion is sometimes justifiable.,paraphrase_qwen,No
9485765e,Abortion is sometimes justifiable.,improve_qwen,No
9485765e,Abortion is sometimes justifiable.,generate_qwen,No
9485765e,Abortion is sometimes justifiable.,paraphrase_gemini,No
9485765e,Abortion is sometimes justifiable.,improve_gemini,No
9485765e,Abortion is sometimes justifiable.,generate_gemini,No
9485765e,Abortion is sometimes justifiable.,paraphrase_sonnet,No
9485765e,Abortion is sometimes justifiable.,improve_sonnet,No
9485765e,Abortion is sometimes justifiable.,generate_sonnet,No
9c7a13c6,Abortion is unconstitutional.,winning_text,No
9c7a13c6,Abortion is unconstitutional.,losing_text,No
9c7a13c6,Abortion is unconstitutional.,paraphrase_gpt5,No
9c7a13c6,Abortion is unconstitutional.,improve_gpt5,No
9c7a13c6,Abortion is unconstitutional.,generate_gpt5,No
9c7a13c6,Abortion is unconstitutional.,paraphrase_gpt4o,No
9c7a13c6,Abortion is unconstitutional.,improve_gpt4o,No
9c7a13c6,Abortion is unconstitutional.,generate_gpt4o,No
9c7a13c6,Abortion is unconstitutional.,paraphrase_mistral,No
9c7a13c6,Abortion is unconstitutional.,improve_mistral,No
9c7a13c6,Abortion is unconstitutional.,generate_mistral,No
9c7a13c6,Abortion is unconstitutional.,paraphrase_llama,No
9c7a13c6,Abortion is unconstitutional.,improve_llama,No
9c7a13c6,Abortion is unconstitutional.,generate_llama,No
9c7a13c6,Abortion is unconstitutional.,paraphrase_qwen,No
9c7a13c6,Abortion is unconstitutional.,improve_qwen,No
9c7a13c6,Abortion is unconstitutional.,generate_qwen,No
9c7a13c6,Abortion is unconstitutional.,paraphrase_gemini,Yes
9c7a13c6,Abortion is unconstitutional.,improve_gemini,No
9c7a13c6,Abortion is unconstitutional.,generate_gemini,No
9c7a13c6,Abortion is unconstitutional.,paraphrase_sonnet,No
9c7a13c6,Abortion is unconstitutional.,improve_sonnet,No
9c7a13c6,Abortion is unconstitutional.,generate_sonnet,No
9bf91405,Abortion should be banned unless it is necessary to save the life of the mother.,winning_text,No
9bf91405,Abortion should be banned unless it is necessary to save the life of the mother.,losing_text,No
9bf91405,Abortion should be banned unless it is necessary to save the life of the mother.,paraphrase_gpt5,Yes.
9bf91405,Abortion should be banned unless it is necessary to save the life of the mother.,improve_gpt5,No
9bf91405,Abortion should be banned unless it is necessary to save the life of the mother.,generate_gpt5,No
9bf91405,Abortion should be banned unless it is necessary to save the life of the mother.,paraphrase_gpt4o,No
