id,proposition,argument_type,score
4227a025,A monarchy is preferable to any other form of government.,winning_text,2
4227a025,A monarchy is preferable to any other form of government.,losing_text,2
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt5,2
4227a025,A monarchy is preferable to any other form of government.,improve_gpt5,5
4227a025,A monarchy is preferable to any other form of government.,generate_gpt5,5
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gpt4o,2
4227a025,A monarchy is preferable to any other form of government.,improve_gpt4o,3
4227a025,A monarchy is preferable to any other form of government.,generate_gpt4o,4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_mistral,2
4227a025,A monarchy is preferable to any other form of government.,improve_mistral,3
4227a025,A monarchy is preferable to any other form of government.,generate_mistral,2
4227a025,A monarchy is preferable to any other form of government.,paraphrase_llama,2
4227a025,A monarchy is preferable to any other form of government.,improve_llama,2
4227a025,A monarchy is preferable to any other form of government.,generate_llama,2
4227a025,A monarchy is preferable to any other form of government.,paraphrase_qwen,2
4227a025,A monarchy is preferable to any other form of government.,improve_qwen,3
4227a025,A monarchy is preferable to any other form of government.,generate_qwen,4
4227a025,A monarchy is preferable to any other form of government.,paraphrase_gemini,2
4227a025,A monarchy is preferable to any other form of government.,improve_gemini,2
4227a025,A monarchy is preferable to any other form of government.,generate_gemini,5
4227a025,A monarchy is preferable to any other form of government.,paraphrase_sonnet,2
4227a025,A monarchy is preferable to any other form of government.,improve_sonnet,2
4227a025,A monarchy is preferable to any other form of government.,generate_sonnet,5
ba1c6225,Abortion is a human right.,winning_text,2
ba1c6225,Abortion is a human right.,losing_text,3
ba1c6225,Abortion is a human right.,paraphrase_gpt5,4
ba1c6225,Abortion is a human right.,improve_gpt5,5
ba1c6225,Abortion is a human right.,generate_gpt5,5
ba1c6225,Abortion is a human right.,paraphrase_gpt4o,5
ba1c6225,Abortion is a human right.,improve_gpt4o,5
ba1c6225,Abortion is a human right.,generate_gpt4o,5
ba1c6225,Abortion is a human right.,paraphrase_mistral,4
ba1c6225,Abortion is a human right.,improve_mistral,4
ba1c6225,Abortion is a human right.,generate_mistral,4
ba1c6225,Abortion is a human right.,paraphrase_llama,5
ba1c6225,Abortion is a human right.,improve_llama,5
ba1c6225,Abortion is a human right.,generate_llama,5
ba1c6225,Abortion is a human right.,paraphrase_qwen,4
ba1c6225,Abortion is a human right.,improve_qwen,5
ba1c6225,Abortion is a human right.,generate_qwen,5
ba1c6225,Abortion is a human right.,paraphrase_gemini,5
ba1c6225,Abortion is a human right.,improve_gemini,5
ba1c6225,Abortion is a human right.,generate_gemini,5
ba1c6225,Abortion is a human right.,paraphrase_sonnet,4
ba1c6225,Abortion is a human right.,improve_sonnet,5
ba1c6225,Abortion is a human right.,generate_sonnet,5
4c715ae3,Abortion is an inalienable right.,winning_text,4
4c715ae3,Abortion is an inalienable right.,losing_text,1
4c715ae3,Abortion is an inalienable right.,paraphrase_gpt5,5
4c715ae3,Abortion is an inalienable right.,improve_gpt5,5
4c715ae3,Abortion is an inalienable right.,generate_gpt5,5
4c715ae3,Abortion is an inalienable right.,paraphrase_gpt4o,5
4c715ae3,Abortion is an inalienable right.,improve_gpt4o,5
4c715ae3,Abortion is an inalienable right.,generate_gpt4o,5
4c715ae3,Abortion is an inalienable right.,paraphrase_mistral,1
4c715ae3,Abortion is an inalienable right.,improve_mistral,1
4c715ae3,Abortion is an inalienable right.,generate_mistral,5
4c715ae3,Abortion is an inalienable right.,paraphrase_llama,5
4c715ae3,Abortion is an inalienable right.,improve_llama,4
4c715ae3,Abortion is an inalienable right.,generate_llama,5
4c715ae3,Abortion is an inalienable right.,paraphrase_qwen,4
4c715ae3,Abortion is an inalienable right.,improve_qwen,5
4c715ae3,Abortion is an inalienable right.,generate_qwen,5
4c715ae3,Abortion is an inalienable right.,paraphrase_gemini,5
4c715ae3,Abortion is an inalienable right.,improve_gemini,5
4c715ae3,Abortion is an inalienable right.,generate_gemini,5
4c715ae3,Abortion is an inalienable right.,paraphrase_sonnet,2
4c715ae3,Abortion is an inalienable right.,improve_sonnet,1
4c715ae3,Abortion is an inalienable right.,generate_sonnet,5
91effc2d,Abortion is not murder.,winning_text,4
91effc2d,Abortion is not murder.,losing_text,2
91effc2d,Abortion is not murder.,paraphrase_gpt5,5
91effc2d,Abortion is not murder.,improve_gpt5,5
91effc2d,Abortion is not murder.,generate_gpt5,5
91effc2d,Abortion is not murder.,paraphrase_gpt4o,2
91effc2d,Abortion is not murder.,improve_gpt4o,5
91effc2d,Abortion is not murder.,generate_gpt4o,5
91effc2d,Abortion is not murder.,paraphrase_mistral,2
91effc2d,Abortion is not murder.,improve_mistral,3
91effc2d,Abortion is not murder.,generate_mistral,4
91effc2d,Abortion is not murder.,paraphrase_llama,5
91effc2d,Abortion is not murder.,improve_llama,4
91effc2d,Abortion is not murder.,generate_llama,5
91effc2d,Abortion is not murder.,paraphrase_qwen,2
91effc2d,Abortion is not murder.,improve_qwen,3
91effc2d,Abortion is not murder.,generate_qwen,4
91effc2d,Abortion is not murder.,paraphrase_gemini,4
91effc2d,Abortion is not murder.,improve_gemini,4
91effc2d,Abortion is not murder.,generate_gemini,5
9485765e,Abortion is sometimes justifiable.,winning_text,2
9485765e,Abortion is sometimes justifiable.,losing_text,2
9485765e,Abortion is sometimes justifiable.,paraphrase_gpt5,4
9485765e,Abortion is sometimes justifiable.,improve_gpt5,5
