source_row,A_source,B_source,answer_direct,answer_swapped,order_influenced_decision,chosen_source_direct,chosen_source_reversed
17,winning_human,losing_human,1,1,Yes,winning_human,losing_human
17,winning_human,losing_paraphrase_gpt5nano,1,1,Yes,winning_human,losing_paraphrase_gpt5nano
17,winning_human,losing_improve_gpt5nano,2,1,No,losing_improve_gpt5nano,losing_improve_gpt5nano
17,winning_human,losing_generate_gpt5nano,1,1,Yes,winning_human,losing_generate_gpt5nano
17,winning_human,losing_paraphrase_gpt4omini,1,1,Yes,winning_human,losing_paraphrase_gpt4omini
17,winning_human,losing_improve_gpt4omini,1,1,Yes,winning_human,losing_improve_gpt4omini
17,winning_human,losing_generate_gpt4omini,1,1,Yes,winning_human,losing_generate_gpt4omini
17,winning_human,losing_paraphrase_mistral,1,1,Yes,winning_human,losing_paraphrase_mistral
17,winning_human,losing_improve_mistral,1,1,Yes,winning_human,losing_improve_mistral
17,winning_human,losing_generate_mistral,1,1,Yes,winning_human,losing_generate_mistral
17,winning_human,losing_paraphrase_llama,1,2,No,winning_human,winning_human
17,winning_human,losing_improve_llama,2,1,No,losing_improve_llama,losing_improve_llama
17,winning_human,losing_generate_llama,1,2,No,winning_human,winning_human
17,winning_human,losing_paraphrase_qwen,1,2,No,winning_human,winning_human
17,winning_human,losing_improve_qwen,1,1,Yes,winning_human,losing_improve_qwen
17,winning_human,losing_generate_qwen,1,1,Yes,winning_human,losing_generate_qwen
17,winning_human,losing_paraphrase_gemini,1,2,No,winning_human,winning_human
17,winning_human,losing_generate_gemini,1,1,Yes,winning_human,losing_generate_gemini
17,winning_human,losing_paraphrase_claude,1,1,Yes,winning_human,losing_paraphrase_claude
17,winning_human,losing_improve_claude,1,1,Yes,winning_human,losing_improve_claude
17,winning_human,losing_generate_claude,1,1,Yes,winning_human,losing_generate_claude
17,losing_human,losing_paraphrase_gpt5nano,Error,1,Error,Error,losing_paraphrase_gpt5nano
17,losing_human,losing_improve_gpt5nano,Error,1,Error,Error,losing_improve_gpt5nano
17,losing_human,losing_generate_gpt5nano,2,1,No,losing_generate_gpt5nano,losing_generate_gpt5nano
17,losing_human,losing_paraphrase_gpt4omini,Error,Error,Error,Error,Error
17,losing_human,losing_improve_gpt4omini,Error,Error,Error,Error,Error
17,losing_human,losing_generate_gpt4omini,Error,1,Error,Error,losing_generate_gpt4omini
17,losing_human,losing_paraphrase_mistral,Error,Error,Error,Error,Error
17,losing_human,losing_improve_mistral,Error,1,Error,Error,losing_improve_mistral
17,losing_human,losing_generate_mistral,2,2,Yes,losing_generate_mistral,losing_human
17,losing_human,losing_paraphrase_llama,1,2,No,losing_human,losing_human
17,losing_human,losing_improve_llama,2,2,Yes,losing_improve_llama,losing_human
17,losing_human,losing_generate_llama,1,2,No,losing_human,losing_human
17,losing_human,losing_paraphrase_qwen,Error,Error,Error,Error,Error
17,losing_human,losing_improve_qwen,Error,Error,Error,Error,Error
17,losing_human,losing_generate_qwen,2,2,Yes,losing_generate_qwen,losing_human
17,losing_human,losing_paraphrase_gemini,1,2,No,losing_human,losing_human
17,losing_human,losing_generate_gemini,2,2,Yes,losing_generate_gemini,losing_human
17,losing_human,losing_paraphrase_claude,Error,1,Error,Error,losing_paraphrase_claude
17,losing_human,losing_improve_claude,Error,1,Error,Error,losing_improve_claude
17,losing_human,losing_generate_claude,2,1,No,losing_generate_claude,losing_generate_claude
18,winning_human,losing_human,1,1,Yes,winning_human,losing_human
18,winning_human,losing_paraphrase_gpt5nano,1,1,Yes,winning_human,losing_paraphrase_gpt5nano
18,winning_human,losing_improve_gpt5nano,1,1,Yes,winning_human,losing_improve_gpt5nano
18,winning_human,losing_generate_gpt5nano,1,1,Yes,winning_human,losing_generate_gpt5nano
18,winning_human,losing_paraphrase_gpt4omini,1,Error,Error,winning_human,Error
18,winning_human,losing_improve_gpt4omini,1,1,Yes,winning_human,losing_improve_gpt4omini
18,winning_human,losing_generate_gpt4omini,1,1,Yes,winning_human,losing_generate_gpt4omini
18,winning_human,losing_paraphrase_mistral,1,1,Yes,winning_human,losing_paraphrase_mistral
18,winning_human,losing_improve_mistral,1,1,Yes,winning_human,losing_improve_mistral
18,winning_human,losing_generate_mistral,1,1,Yes,winning_human,losing_generate_mistral
18,winning_human,losing_paraphrase_llama,1,2,No,winning_human,winning_human
18,winning_human,losing_improve_llama,1,1,Yes,winning_human,losing_improve_llama
18,winning_human,losing_generate_llama,2,Error,Error,losing_generate_llama,Error
18,winning_human,losing_paraphrase_qwen,1,1,Yes,winning_human,losing_paraphrase_qwen
18,winning_human,losing_improve_qwen,1,1,Yes,winning_human,losing_improve_qwen
18,winning_human,losing_generate_qwen,1,1,Yes,winning_human,losing_generate_qwen
18,winning_human,losing_generate_gemini,1,1,Yes,winning_human,losing_generate_gemini
18,winning_human,losing_paraphrase_claude,1,Error,Error,winning_human,Error
18,winning_human,losing_improve_claude,2,1,No,losing_improve_claude,losing_improve_claude
18,winning_human,losing_generate_claude,2,1,No,losing_generate_claude,losing_generate_claude
18,losing_human,losing_paraphrase_gpt5nano,Error,Error,Error,Error,Error
18,losing_human,losing_improve_gpt5nano,Error,1,Error,Error,losing_improve_gpt5nano
18,losing_human,losing_generate_gpt5nano,Error,1,Error,Error,losing_generate_gpt5nano
18,losing_human,losing_paraphrase_gpt4omini,1,1,Yes,losing_human,losing_paraphrase_gpt4omini
18,losing_human,losing_improve_gpt4omini,2,Error,Error,losing_improve_gpt4omini,Error
18,losing_human,losing_generate_gpt4omini,Error,Error,Error,Error,Error
18,losing_human,losing_paraphrase_mistral,1,2,No,losing_human,losing_human
18,losing_human,losing_improve_mistral,2,1,No,losing_improve_mistral,losing_improve_mistral
18,losing_human,losing_generate_mistral,2,2,Yes,losing_generate_mistral,losing_human
18,losing_human,losing_paraphrase_llama,2,2,Yes,losing_paraphrase_llama,losing_human
18,losing_human,losing_improve_llama,2,1,No,losing_improve_llama,losing_improve_llama
18,losing_human,losing_generate_llama,Error,2,Error,Error,losing_human
18,losing_human,losing_paraphrase_qwen,Error,1,Error,Error,losing_paraphrase_qwen
18,losing_human,losing_improve_qwen,1,Error,Error,losing_human,Error
18,losing_human,losing_generate_qwen,2,Error,Error,losing_generate_qwen,Error
18,losing_human,losing_generate_gemini,2,1,No,losing_generate_gemini,losing_generate_gemini
18,losing_human,losing_paraphrase_claude,2,1,No,losing_paraphrase_claude,losing_paraphrase_claude
18,losing_human,losing_improve_claude,2,1,No,losing_improve_claude,losing_improve_claude
18,losing_human,losing_generate_claude,2,1,No,losing_generate_claude,losing_generate_claude
19,winning_human,losing_human,1,1,Yes,winning_human,losing_human
19,winning_human,losing_paraphrase_gpt5nano,1,2,No,winning_human,winning_human
19,winning_human,losing_improve_gpt5nano,1,Error,Error,winning_human,Error
19,winning_human,losing_generate_gpt5nano,2,1,No,losing_generate_gpt5nano,losing_generate_gpt5nano
19,winning_human,losing_paraphrase_gpt4omini,Error,Error,Error,Error,Error
19,winning_human,losing_improve_gpt4omini,2,1,No,losing_improve_gpt4omini,losing_improve_gpt4omini
19,winning_human,losing_generate_gpt4omini,2,1,No,losing_generate_gpt4omini,losing_generate_gpt4omini
19,winning_human,losing_paraphrase_mistral,2,Error,Error,losing_paraphrase_mistral,Error
19,winning_human,losing_improve_mistral,2,2,Yes,losing_improve_mistral,winning_human
19,winning_human,losing_generate_mistral,1,1,Yes,winning_human,losing_generate_mistral
19,winning_human,losing_paraphrase_llama,2,2,Yes,losing_paraphrase_llama,winning_human
19,winning_human,losing_improve_llama,2,1,No,losing_improve_llama,losing_improve_llama
19,winning_human,losing_generate_llama,1,1,Yes,winning_human,losing_generate_llama
19,winning_human,losing_paraphrase_qwen,2,2,Yes,losing_paraphrase_qwen,winning_human
19,winning_human,losing_improve_qwen,Error,1,Error,Error,losing_improve_qwen
19,winning_human,losing_generate_qwen,Error,2,Error,Error,winning_human
19,winning_human,losing_paraphrase_gemini,2,Error,Error,losing_paraphrase_gemini,Error
19,winning_human,losing_paraphrase_claude,1,Error,Error,winning_human,Error
19,winning_human,losing_improve_claude,Error,1,Error,Error,losing_improve_claude
19,winning_human,losing_generate_claude,1,1,Yes,winning_human,losing_generate_claude
19,losing_human,losing_paraphrase_gpt5nano,1,1,Yes,losing_human,losing_paraphrase_gpt5nano
