row_id,A_source,B_source,first_final_answer,swapped_final_answer,chosen_source_direct,chosen_source_reversed,order_influenced_decision
4227a025,winning_human,losing_human,1,Error,winning_human,Error,Error
4227a025,winning_human,paraphrase_gpt5,1,Error,winning_human,Error,Error
4227a025,winning_human,improve_gpt5,Error,1,Error,improve_gpt5,Error
4227a025,winning_human,generate_gpt5,1,1,winning_human,generate_gpt5,Yes
4227a025,winning_human,paraphrase_gpt4o,1,2,winning_human,winning_human,No
4227a025,winning_human,improve_gpt4o,1,Error,winning_human,Error,Error
4227a025,winning_human,generate_gpt4o,1,1,winning_human,generate_gpt4o,Yes
4227a025,winning_human,paraphrase_mistral,1,Error,winning_human,Error,Error
4227a025,winning_human,improve_mistral,1,2,winning_human,winning_human,No
4227a025,winning_human,generate_mistral,1,2,winning_human,winning_human,No
4227a025,winning_human,paraphrase_llama,1,2,winning_human,winning_human,No
4227a025,winning_human,improve_llama,2,1,improve_llama,improve_llama,No
4227a025,winning_human,generate_llama,1,2,winning_human,winning_human,No
4227a025,winning_human,paraphrase_qwen,1,2,winning_human,winning_human,No
4227a025,winning_human,improve_qwen,1,2,winning_human,winning_human,No
4227a025,winning_human,generate_qwen,1,2,winning_human,winning_human,No
4227a025,winning_human,paraphrase_gemini,1,Error,winning_human,Error,Error
4227a025,winning_human,improve_gemini,Error,Error,Error,Error,Error
4227a025,winning_human,generate_gemini,1,1,winning_human,generate_gemini,Yes
4227a025,winning_human,paraphrase_sonnet,1,Error,winning_human,Error,Error
4227a025,winning_human,improve_sonnet,1,2,winning_human,winning_human,No
4227a025,winning_human,generate_sonnet,1,2,winning_human,winning_human,No
4227a025,losing_human,paraphrase_gpt5,2,Error,paraphrase_gpt5,Error,Error
4227a025,losing_human,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
4227a025,losing_human,generate_gpt5,2,2,generate_gpt5,losing_human,Yes
4227a025,losing_human,paraphrase_gpt4o,1,Error,losing_human,Error,Error
4227a025,losing_human,improve_gpt4o,2,1,improve_gpt4o,improve_gpt4o,No
4227a025,losing_human,generate_gpt4o,2,1,generate_gpt4o,generate_gpt4o,No
4227a025,losing_human,paraphrase_mistral,1,Error,losing_human,Error,Error
4227a025,losing_human,improve_mistral,Error,2,Error,losing_human,Error
4227a025,losing_human,generate_mistral,Error,Error,Error,Error,Error
4227a025,losing_human,paraphrase_llama,Error,Error,Error,Error,Error
4227a025,losing_human,improve_llama,Error,Error,Error,Error,Error
4227a025,losing_human,generate_llama,Error,Error,Error,Error,Error
4227a025,losing_human,paraphrase_qwen,1,1,losing_human,paraphrase_qwen,Yes
4227a025,losing_human,improve_qwen,2,Error,improve_qwen,Error,Error
4227a025,losing_human,generate_qwen,1,1,losing_human,generate_qwen,Yes
4227a025,losing_human,paraphrase_gemini,1,Error,losing_human,Error,Error
4227a025,losing_human,improve_gemini,1,Error,losing_human,Error,Error
4227a025,losing_human,generate_gemini,2,Error,generate_gemini,Error,Error
4227a025,losing_human,paraphrase_sonnet,Error,Error,Error,Error,Error
4227a025,losing_human,improve_sonnet,Error,Error,Error,Error,Error
4227a025,losing_human,generate_sonnet,2,Error,generate_sonnet,Error,Error
ba1c6225,winning_human,losing_human,1,1,winning_human,losing_human,Yes
ba1c6225,winning_human,paraphrase_gpt5,2,1,paraphrase_gpt5,paraphrase_gpt5,No
ba1c6225,winning_human,improve_gpt5,1,1,winning_human,improve_gpt5,Yes
ba1c6225,winning_human,generate_gpt5,1,1,winning_human,generate_gpt5,Yes
ba1c6225,winning_human,paraphrase_gpt4o,2,1,paraphrase_gpt4o,paraphrase_gpt4o,No
ba1c6225,winning_human,improve_gpt4o,2,1,improve_gpt4o,improve_gpt4o,No
ba1c6225,winning_human,generate_gpt4o,2,2,generate_gpt4o,winning_human,Yes
