source_row,A_source,B_source,answer_direct,answer_swapped,order_influenced_decision,chosen_source_direct,chosen_source_reversed
02595c96,winning_human,paraphrase_gpt5,2,1,No,paraphrase_gpt5,paraphrase_gpt5
02595c96,winning_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
02595c96,winning_human,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
02595c96,winning_human,paraphrase_gpt4o,2,1,No,paraphrase_gpt4o,paraphrase_gpt4o
02595c96,winning_human,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
02595c96,winning_human,generate_gpt4o,2,1,No,generate_gpt4o,generate_gpt4o
02595c96,winning_human,paraphrase_mistral,2,2,Yes,paraphrase_mistral,winning_human
02595c96,winning_human,improve_mistral,1,1,Yes,winning_human,improve_mistral
02595c96,winning_human,generate_mistral,1,1,Yes,winning_human,generate_mistral
02595c96,winning_human,paraphrase_llama,1,1,Yes,winning_human,paraphrase_llama
02595c96,winning_human,improve_llama,1,2,No,winning_human,winning_human
02595c96,winning_human,generate_llama,2,1,No,generate_llama,generate_llama
02595c96,winning_human,paraphrase_qwen,1,2,No,winning_human,winning_human
02595c96,winning_human,improve_qwen,2,2,Yes,improve_qwen,winning_human
02595c96,winning_human,generate_qwen,1,1,Yes,winning_human,generate_qwen
02595c96,winning_human,paraphrase_gemini,1,1,Yes,winning_human,paraphrase_gemini
02595c96,winning_human,improve_gemini,2,1,No,improve_gemini,improve_gemini
02595c96,winning_human,generate_gemini,2,1,No,generate_gemini,generate_gemini
02595c96,winning_human,paraphrase_sonnet,1,1,Yes,winning_human,paraphrase_sonnet
02595c96,winning_human,improve_sonnet,1,2,No,winning_human,winning_human
02595c96,winning_human,generate_sonnet,1,2,No,winning_human,winning_human
02595c96,losing_human,paraphrase_gpt5,2,1,No,paraphrase_gpt5,paraphrase_gpt5
02595c96,losing_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
02595c96,losing_human,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
02595c96,losing_human,paraphrase_gpt4o,2,1,No,paraphrase_gpt4o,paraphrase_gpt4o
02595c96,losing_human,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
02595c96,losing_human,generate_gpt4o,2,1,No,generate_gpt4o,generate_gpt4o
02595c96,losing_human,paraphrase_mistral,2,2,Yes,paraphrase_mistral,losing_human
02595c96,losing_human,improve_mistral,2,1,No,improve_mistral,improve_mistral
02595c96,losing_human,generate_mistral,2,1,No,generate_mistral,generate_mistral
02595c96,losing_human,paraphrase_llama,2,1,No,paraphrase_llama,paraphrase_llama
02595c96,losing_human,improve_llama,2,1,No,improve_llama,improve_llama
02595c96,losing_human,generate_llama,2,1,No,generate_llama,generate_llama
02595c96,losing_human,paraphrase_qwen,2,1,No,paraphrase_qwen,paraphrase_qwen
02595c96,losing_human,improve_qwen,2,1,No,improve_qwen,improve_qwen
02595c96,losing_human,generate_qwen,2,1,No,generate_qwen,generate_qwen
02595c96,losing_human,paraphrase_gemini,2,2,Yes,paraphrase_gemini,losing_human
02595c96,losing_human,improve_gemini,2,1,No,improve_gemini,improve_gemini
02595c96,losing_human,generate_gemini,2,1,No,generate_gemini,generate_gemini
02595c96,losing_human,paraphrase_sonnet,1,2,No,losing_human,losing_human
02595c96,losing_human,improve_sonnet,1,2,No,losing_human,losing_human
02595c96,losing_human,generate_sonnet,1,2,No,losing_human,losing_human
06ae91a0,winning_human,paraphrase_gpt5,2,1,No,paraphrase_gpt5,paraphrase_gpt5
06ae91a0,winning_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
06ae91a0,winning_human,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
06ae91a0,winning_human,paraphrase_gpt4o,1,1,Yes,winning_human,paraphrase_gpt4o
06ae91a0,winning_human,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
06ae91a0,winning_human,generate_gpt4o,2,1,No,generate_gpt4o,generate_gpt4o
06ae91a0,winning_human,paraphrase_mistral,2,1,No,paraphrase_mistral,paraphrase_mistral
06ae91a0,winning_human,improve_mistral,2,1,No,improve_mistral,improve_mistral
06ae91a0,winning_human,generate_mistral,2,1,No,generate_mistral,generate_mistral
06ae91a0,winning_human,paraphrase_llama,2,1,No,paraphrase_llama,paraphrase_llama
06ae91a0,winning_human,improve_llama,2,1,No,improve_llama,improve_llama
06ae91a0,winning_human,generate_llama,2,1,No,generate_llama,generate_llama
06ae91a0,winning_human,paraphrase_qwen,2,2,Yes,paraphrase_qwen,winning_human
06ae91a0,winning_human,improve_qwen,2,1,No,improve_qwen,improve_qwen
06ae91a0,winning_human,generate_qwen,2,1,No,generate_qwen,generate_qwen
06ae91a0,winning_human,paraphrase_gemini,2,1,No,paraphrase_gemini,paraphrase_gemini
06ae91a0,winning_human,improve_gemini,2,1,No,improve_gemini,improve_gemini
06ae91a0,winning_human,generate_gemini,2,1,No,generate_gemini,generate_gemini
06ae91a0,winning_human,paraphrase_sonnet,2,1,No,paraphrase_sonnet,paraphrase_sonnet
06ae91a0,winning_human,improve_sonnet,2,1,No,improve_sonnet,improve_sonnet
06ae91a0,winning_human,generate_sonnet,2,1,No,generate_sonnet,generate_sonnet
06ae91a0,losing_human,paraphrase_gpt5,2,1,No,paraphrase_gpt5,paraphrase_gpt5
06ae91a0,losing_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
06ae91a0,losing_human,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
06ae91a0,losing_human,paraphrase_gpt4o,2,1,No,paraphrase_gpt4o,paraphrase_gpt4o
06ae91a0,losing_human,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
06ae91a0,losing_human,generate_gpt4o,2,1,No,generate_gpt4o,generate_gpt4o
06ae91a0,losing_human,paraphrase_mistral,2,2,Yes,paraphrase_mistral,losing_human
06ae91a0,losing_human,improve_mistral,2,1,No,improve_mistral,improve_mistral
06ae91a0,losing_human,generate_mistral,2,1,No,generate_mistral,generate_mistral
06ae91a0,losing_human,paraphrase_llama,2,1,No,paraphrase_llama,paraphrase_llama
06ae91a0,losing_human,improve_llama,2,2,Yes,improve_llama,losing_human
06ae91a0,losing_human,generate_llama,2,1,No,generate_llama,generate_llama
06ae91a0,losing_human,paraphrase_qwen,2,1,No,paraphrase_qwen,paraphrase_qwen
06ae91a0,losing_human,improve_qwen,1,1,Yes,losing_human,improve_qwen
06ae91a0,losing_human,generate_qwen,2,1,No,generate_qwen,generate_qwen
06ae91a0,losing_human,paraphrase_gemini,2,1,No,paraphrase_gemini,paraphrase_gemini
06ae91a0,losing_human,improve_gemini,2,1,No,improve_gemini,improve_gemini
06ae91a0,losing_human,generate_gemini,2,1,No,generate_gemini,generate_gemini
06ae91a0,losing_human,paraphrase_sonnet,1,2,No,losing_human,losing_human
06ae91a0,losing_human,improve_sonnet,2,1,No,improve_sonnet,improve_sonnet
06ae91a0,losing_human,generate_sonnet,2,1,No,generate_sonnet,generate_sonnet
07fc7243,winning_human,paraphrase_gpt5,2,2,Yes,paraphrase_gpt5,winning_human
07fc7243,winning_human,improve_gpt5,1,1,Yes,winning_human,improve_gpt5
07fc7243,winning_human,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
07fc7243,winning_human,paraphrase_gpt4o,1,1,Yes,winning_human,paraphrase_gpt4o
07fc7243,winning_human,improve_gpt4o,2,2,Yes,improve_gpt4o,winning_human
07fc7243,winning_human,generate_gpt4o,2,1,No,generate_gpt4o,generate_gpt4o
07fc7243,winning_human,paraphrase_mistral,1,2,No,winning_human,winning_human
07fc7243,winning_human,improve_mistral,1,2,No,winning_human,winning_human
07fc7243,winning_human,generate_mistral,1,2,No,winning_human,winning_human
07fc7243,winning_human,paraphrase_llama,1,2,No,winning_human,winning_human
07fc7243,winning_human,improve_llama,1,2,No,winning_human,winning_human
07fc7243,winning_human,generate_llama,2,1,No,generate_llama,generate_llama
07fc7243,winning_human,paraphrase_qwen,2,1,No,paraphrase_qwen,paraphrase_qwen
07fc7243,winning_human,improve_qwen,1,2,No,winning_human,winning_human
07fc7243,winning_human,generate_qwen,1,2,No,winning_human,winning_human
07fc7243,winning_human,paraphrase_gemini,1,2,No,winning_human,winning_human
07fc7243,winning_human,improve_gemini,1,2,No,winning_human,winning_human
07fc7243,winning_human,generate_gemini,1,2,No,winning_human,winning_human
07fc7243,winning_human,paraphrase_sonnet,1,2,No,winning_human,winning_human
07fc7243,winning_human,improve_sonnet,1,2,No,winning_human,winning_human
07fc7243,winning_human,generate_sonnet,2,2,Yes,generate_sonnet,winning_human
07fc7243,losing_human,paraphrase_gpt5,2,1,No,paraphrase_gpt5,paraphrase_gpt5
07fc7243,losing_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
07fc7243,losing_human,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
07fc7243,losing_human,paraphrase_gpt4o,2,1,No,paraphrase_gpt4o,paraphrase_gpt4o
07fc7243,losing_human,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
07fc7243,losing_human,generate_gpt4o,2,1,No,generate_gpt4o,generate_gpt4o
07fc7243,losing_human,paraphrase_mistral,2,2,Yes,paraphrase_mistral,losing_human
07fc7243,losing_human,improve_mistral,1,2,No,losing_human,losing_human
07fc7243,losing_human,generate_mistral,2,1,No,generate_mistral,generate_mistral
07fc7243,losing_human,paraphrase_llama,2,2,Yes,paraphrase_llama,losing_human
07fc7243,losing_human,improve_llama,1,2,No,losing_human,losing_human
07fc7243,losing_human,generate_llama,2,1,No,generate_llama,generate_llama
07fc7243,losing_human,paraphrase_qwen,1,1,Yes,losing_human,paraphrase_qwen
07fc7243,losing_human,improve_qwen,1,1,Yes,losing_human,improve_qwen
07fc7243,losing_human,generate_qwen,2,1,No,generate_qwen,generate_qwen
07fc7243,losing_human,paraphrase_gemini,1,1,Yes,losing_human,paraphrase_gemini
07fc7243,losing_human,improve_gemini,2,2,Yes,improve_gemini,losing_human
07fc7243,losing_human,generate_gemini,2,1,No,generate_gemini,generate_gemini
07fc7243,losing_human,paraphrase_sonnet,2,1,No,paraphrase_sonnet,paraphrase_sonnet
07fc7243,losing_human,improve_sonnet,2,1,No,improve_sonnet,improve_sonnet
07fc7243,losing_human,generate_sonnet,2,1,No,generate_sonnet,generate_sonnet
095e5d54,winning_human,paraphrase_gpt5,1,2,No,winning_human,winning_human
095e5d54,winning_human,improve_gpt5,2,2,Yes,improve_gpt5,winning_human
095e5d54,winning_human,generate_gpt5,1,1,Yes,winning_human,generate_gpt5
095e5d54,winning_human,paraphrase_gpt4o,1,2,No,winning_human,winning_human
095e5d54,winning_human,improve_gpt4o,1,1,Yes,winning_human,improve_gpt4o
095e5d54,winning_human,generate_gpt4o,2,2,Yes,generate_gpt4o,winning_human
095e5d54,winning_human,paraphrase_mistral,2,2,Yes,paraphrase_mistral,winning_human
095e5d54,winning_human,improve_mistral,1,2,No,winning_human,winning_human
095e5d54,winning_human,generate_mistral,1,1,Yes,winning_human,generate_mistral
095e5d54,winning_human,paraphrase_llama,2,1,No,paraphrase_llama,paraphrase_llama
095e5d54,winning_human,improve_llama,1,2,No,winning_human,winning_human
095e5d54,winning_human,generate_llama,1,2,No,winning_human,winning_human
095e5d54,winning_human,paraphrase_qwen,1,2,No,winning_human,winning_human
095e5d54,winning_human,improve_qwen,1,2,No,winning_human,winning_human
095e5d54,winning_human,generate_qwen,2,1,No,generate_qwen,generate_qwen
095e5d54,winning_human,paraphrase_gemini,2,1,No,paraphrase_gemini,paraphrase_gemini
095e5d54,winning_human,improve_gemini,1,1,Yes,winning_human,improve_gemini
095e5d54,winning_human,generate_gemini,1,1,Yes,winning_human,generate_gemini
095e5d54,winning_human,paraphrase_sonnet,1,2,No,winning_human,winning_human
095e5d54,winning_human,improve_sonnet,2,1,No,improve_sonnet,improve_sonnet
095e5d54,winning_human,generate_sonnet,1,2,No,winning_human,winning_human
095e5d54,losing_human,paraphrase_gpt5,2,1,No,paraphrase_gpt5,paraphrase_gpt5
095e5d54,losing_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
095e5d54,losing_human,generate_gpt5,2,2,Yes,generate_gpt5,losing_human
095e5d54,losing_human,paraphrase_gpt4o,1,2,No,losing_human,losing_human
095e5d54,losing_human,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
095e5d54,losing_human,generate_gpt4o,1,1,Yes,losing_human,generate_gpt4o
095e5d54,losing_human,paraphrase_mistral,1,2,No,losing_human,losing_human
095e5d54,losing_human,improve_mistral,2,1,No,improve_mistral,improve_mistral
095e5d54,losing_human,generate_mistral,2,2,Yes,generate_mistral,losing_human
095e5d54,losing_human,paraphrase_llama,1,1,Yes,losing_human,paraphrase_llama
095e5d54,losing_human,improve_llama,2,2,Yes,improve_llama,losing_human
095e5d54,losing_human,generate_llama,1,1,Yes,losing_human,generate_llama
095e5d54,losing_human,paraphrase_qwen,1,2,No,losing_human,losing_human
095e5d54,losing_human,improve_qwen,2,1,No,improve_qwen,improve_qwen
095e5d54,losing_human,generate_qwen,2,1,No,generate_qwen,generate_qwen
095e5d54,losing_human,paraphrase_gemini,2,2,Yes,paraphrase_gemini,losing_human
095e5d54,losing_human,improve_gemini,2,1,No,improve_gemini,improve_gemini
095e5d54,losing_human,generate_gemini,2,1,No,generate_gemini,generate_gemini
095e5d54,losing_human,paraphrase_sonnet,1,2,No,losing_human,losing_human
095e5d54,losing_human,improve_sonnet,2,2,Yes,improve_sonnet,losing_human
095e5d54,losing_human,generate_sonnet,2,1,No,generate_sonnet,generate_sonnet
0ceb57fd,winning_human,paraphrase_gpt5,2,1,No,paraphrase_gpt5,paraphrase_gpt5
0ceb57fd,winning_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
0ceb57fd,winning_human,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
0ceb57fd,winning_human,paraphrase_gpt4o,2,1,No,paraphrase_gpt4o,paraphrase_gpt4o
0ceb57fd,winning_human,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
0ceb57fd,winning_human,generate_gpt4o,2,2,Yes,generate_gpt4o,winning_human
0ceb57fd,winning_human,paraphrase_mistral,1,2,No,winning_human,winning_human
0ceb57fd,winning_human,improve_mistral,1,1,Yes,winning_human,improve_mistral
0ceb57fd,winning_human,generate_mistral,1,1,Yes,winning_human,generate_mistral
0ceb57fd,winning_human,paraphrase_llama,2,1,No,paraphrase_llama,paraphrase_llama
0ceb57fd,winning_human,improve_llama,1,1,Yes,winning_human,improve_llama
0ceb57fd,winning_human,generate_llama,2,1,No,generate_llama,generate_llama
0ceb57fd,winning_human,paraphrase_qwen,1,1,Yes,winning_human,paraphrase_qwen
0ceb57fd,winning_human,improve_qwen,1,2,No,winning_human,winning_human
0ceb57fd,winning_human,generate_qwen,1,2,No,winning_human,winning_human
0ceb57fd,winning_human,paraphrase_gemini,1,2,No,winning_human,winning_human
0ceb57fd,winning_human,improve_gemini,2,1,No,improve_gemini,improve_gemini
0ceb57fd,winning_human,generate_gemini,1,2,No,winning_human,winning_human
0ceb57fd,winning_human,paraphrase_sonnet,2,1,No,paraphrase_sonnet,paraphrase_sonnet
0ceb57fd,winning_human,improve_sonnet,2,1,No,improve_sonnet,improve_sonnet
0ceb57fd,winning_human,generate_sonnet,2,1,No,generate_sonnet,generate_sonnet
0ceb57fd,losing_human,paraphrase_gpt5,2,2,Yes,paraphrase_gpt5,losing_human
0ceb57fd,losing_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
0ceb57fd,losing_human,generate_gpt5,1,1,Yes,losing_human,generate_gpt5
0ceb57fd,losing_human,paraphrase_gpt4o,2,2,Yes,paraphrase_gpt4o,losing_human
0ceb57fd,losing_human,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
0ceb57fd,losing_human,generate_gpt4o,1,1,Yes,losing_human,generate_gpt4o
0ceb57fd,losing_human,paraphrase_mistral,2,1,No,paraphrase_mistral,paraphrase_mistral
0ceb57fd,losing_human,improve_mistral,1,2,No,losing_human,losing_human
0ceb57fd,losing_human,generate_mistral,2,2,Yes,generate_mistral,losing_human
0ceb57fd,losing_human,paraphrase_llama,2,2,Yes,paraphrase_llama,losing_human
0ceb57fd,losing_human,improve_llama,2,2,Yes,improve_llama,losing_human
0ceb57fd,losing_human,generate_llama,2,2,Yes,generate_llama,losing_human
0ceb57fd,losing_human,paraphrase_qwen,2,2,Yes,paraphrase_qwen,losing_human
0ceb57fd,losing_human,improve_qwen,2,1,No,improve_qwen,improve_qwen
0ceb57fd,losing_human,generate_qwen,2,2,Yes,generate_qwen,losing_human
0ceb57fd,losing_human,paraphrase_gemini,2,2,Yes,paraphrase_gemini,losing_human
0ceb57fd,losing_human,improve_gemini,2,2,Yes,improve_gemini,losing_human
0ceb57fd,losing_human,generate_gemini,2,1,No,generate_gemini,generate_gemini
0ceb57fd,losing_human,paraphrase_sonnet,2,2,Yes,paraphrase_sonnet,losing_human
0ceb57fd,losing_human,improve_sonnet,2,2,Yes,improve_sonnet,losing_human
0ceb57fd,losing_human,generate_sonnet,2,2,Yes,generate_sonnet,losing_human
0df62ee3,winning_human,paraphrase_gpt5,2,2,Yes,paraphrase_gpt5,winning_human
0df62ee3,winning_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
