row_id,A_source,B_source,first_final_answer,swapped_final_answer,chosen_source_direct,chosen_source_reversed,order_influenced_decision
02595c96,winning_human,losing_human,1,2,winning_human,winning_human,No
02595c96,winning_human,paraphrase_gpt5,2,1,paraphrase_gpt5,paraphrase_gpt5,No
02595c96,winning_human,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
02595c96,winning_human,generate_gpt5,2,1,generate_gpt5,generate_gpt5,No
02595c96,winning_human,paraphrase_gpt4o,2,2,paraphrase_gpt4o,winning_human,Yes
02595c96,winning_human,improve_gpt4o,2,1,improve_gpt4o,improve_gpt4o,No
02595c96,winning_human,generate_gpt4o,2,1,generate_gpt4o,generate_gpt4o,No
02595c96,losing_human,paraphrase_gpt5,2,1,paraphrase_gpt5,paraphrase_gpt5,No
02595c96,losing_human,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
02595c96,losing_human,generate_gpt5,2,1,generate_gpt5,generate_gpt5,No
02595c96,losing_human,paraphrase_gpt4o,2,1,paraphrase_gpt4o,paraphrase_gpt4o,No
02595c96,losing_human,improve_gpt4o,1,1,losing_human,improve_gpt4o,Yes
02595c96,losing_human,generate_gpt4o,2,1,generate_gpt4o,generate_gpt4o,No
02595c96,paraphrase_gpt5,improve_gpt5,1,1,paraphrase_gpt5,improve_gpt5,Yes
02595c96,paraphrase_gpt5,generate_gpt5,2,1,generate_gpt5,generate_gpt5,No
02595c96,paraphrase_gpt5,paraphrase_gpt4o,2,2,paraphrase_gpt4o,paraphrase_gpt5,Yes
02595c96,paraphrase_gpt5,improve_gpt4o,1,1,paraphrase_gpt5,improve_gpt4o,Yes
02595c96,paraphrase_gpt5,generate_gpt4o,1,1,paraphrase_gpt5,generate_gpt4o,Yes
02595c96,improve_gpt5,generate_gpt5,1,1,improve_gpt5,generate_gpt5,Yes
02595c96,improve_gpt5,paraphrase_gpt4o,1,2,improve_gpt5,improve_gpt5,No
02595c96,improve_gpt5,improve_gpt4o,1,2,improve_gpt5,improve_gpt5,No
02595c96,improve_gpt5,generate_gpt4o,1,1,improve_gpt5,generate_gpt4o,Yes
02595c96,generate_gpt5,paraphrase_gpt4o,1,2,generate_gpt5,generate_gpt5,No
02595c96,generate_gpt5,improve_gpt4o,1,2,generate_gpt5,generate_gpt5,No
02595c96,generate_gpt5,generate_gpt4o,1,1,generate_gpt5,generate_gpt4o,Yes
02595c96,paraphrase_gpt4o,improve_gpt4o,2,1,improve_gpt4o,improve_gpt4o,No
02595c96,paraphrase_gpt4o,generate_gpt4o,2,1,generate_gpt4o,generate_gpt4o,No
02595c96,improve_gpt4o,generate_gpt4o,1,1,improve_gpt4o,generate_gpt4o,Yes
06ae91a0,winning_human,losing_human,2,1,losing_human,losing_human,No
06ae91a0,winning_human,paraphrase_gpt5,2,1,paraphrase_gpt5,paraphrase_gpt5,No
06ae91a0,winning_human,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
06ae91a0,winning_human,generate_gpt5,2,1,generate_gpt5,generate_gpt5,No
06ae91a0,winning_human,paraphrase_gpt4o,2,1,paraphrase_gpt4o,paraphrase_gpt4o,No
06ae91a0,winning_human,improve_gpt4o,2,1,improve_gpt4o,improve_gpt4o,No
06ae91a0,winning_human,generate_gpt4o,2,1,generate_gpt4o,generate_gpt4o,No
06ae91a0,losing_human,paraphrase_gpt5,2,1,paraphrase_gpt5,paraphrase_gpt5,No
06ae91a0,losing_human,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
06ae91a0,losing_human,generate_gpt5,2,1,generate_gpt5,generate_gpt5,No
06ae91a0,losing_human,paraphrase_gpt4o,2,1,paraphrase_gpt4o,paraphrase_gpt4o,No
06ae91a0,losing_human,improve_gpt4o,2,1,improve_gpt4o,improve_gpt4o,No
06ae91a0,losing_human,generate_gpt4o,2,2,generate_gpt4o,losing_human,Yes
06ae91a0,paraphrase_gpt5,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
06ae91a0,paraphrase_gpt5,generate_gpt5,1,1,paraphrase_gpt5,generate_gpt5,Yes
06ae91a0,paraphrase_gpt5,paraphrase_gpt4o,2,2,paraphrase_gpt4o,paraphrase_gpt5,Yes
06ae91a0,paraphrase_gpt5,improve_gpt4o,1,1,paraphrase_gpt5,improve_gpt4o,Yes
06ae91a0,paraphrase_gpt5,generate_gpt4o,1,1,paraphrase_gpt5,generate_gpt4o,Yes
06ae91a0,improve_gpt5,generate_gpt5,1,1,improve_gpt5,generate_gpt5,Yes
06ae91a0,improve_gpt5,paraphrase_gpt4o,1,2,improve_gpt5,improve_gpt5,No
06ae91a0,improve_gpt5,improve_gpt4o,1,2,improve_gpt5,improve_gpt5,No
06ae91a0,improve_gpt5,generate_gpt4o,1,1,improve_gpt5,generate_gpt4o,Yes
06ae91a0,generate_gpt5,paraphrase_gpt4o,1,2,generate_gpt5,generate_gpt5,No
06ae91a0,generate_gpt5,improve_gpt4o,1,1,generate_gpt5,improve_gpt4o,Yes
06ae91a0,generate_gpt5,generate_gpt4o,1,1,generate_gpt5,generate_gpt4o,Yes
06ae91a0,paraphrase_gpt4o,improve_gpt4o,2,1,improve_gpt4o,improve_gpt4o,No
06ae91a0,paraphrase_gpt4o,generate_gpt4o,2,1,generate_gpt4o,generate_gpt4o,No
06ae91a0,improve_gpt4o,generate_gpt4o,2,1,generate_gpt4o,generate_gpt4o,No
07fc7243,winning_human,losing_human,1,2,winning_human,winning_human,No
07fc7243,winning_human,paraphrase_gpt5,2,2,paraphrase_gpt5,winning_human,Yes
07fc7243,winning_human,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
07fc7243,winning_human,generate_gpt5,2,1,generate_gpt5,generate_gpt5,No
07fc7243,winning_human,paraphrase_gpt4o,2,2,paraphrase_gpt4o,winning_human,Yes
07fc7243,winning_human,improve_gpt4o,2,1,improve_gpt4o,improve_gpt4o,No
07fc7243,winning_human,generate_gpt4o,1,1,winning_human,generate_gpt4o,Yes
07fc7243,losing_human,paraphrase_gpt5,2,1,paraphrase_gpt5,paraphrase_gpt5,No
07fc7243,losing_human,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
07fc7243,losing_human,generate_gpt5,2,1,generate_gpt5,generate_gpt5,No
07fc7243,losing_human,paraphrase_gpt4o,2,1,paraphrase_gpt4o,paraphrase_gpt4o,No
07fc7243,losing_human,improve_gpt4o,2,1,improve_gpt4o,improve_gpt4o,No
07fc7243,losing_human,generate_gpt4o,1,1,losing_human,generate_gpt4o,Yes
07fc7243,paraphrase_gpt5,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
07fc7243,paraphrase_gpt5,generate_gpt5,2,1,generate_gpt5,generate_gpt5,No
07fc7243,paraphrase_gpt5,paraphrase_gpt4o,2,1,paraphrase_gpt4o,paraphrase_gpt4o,No
07fc7243,paraphrase_gpt5,improve_gpt4o,2,2,improve_gpt4o,paraphrase_gpt5,Yes
07fc7243,paraphrase_gpt5,generate_gpt4o,2,2,generate_gpt4o,paraphrase_gpt5,Yes
07fc7243,improve_gpt5,generate_gpt5,1,1,improve_gpt5,generate_gpt5,Yes
07fc7243,improve_gpt5,paraphrase_gpt4o,1,2,improve_gpt5,improve_gpt5,No
07fc7243,improve_gpt5,improve_gpt4o,1,2,improve_gpt5,improve_gpt5,No
07fc7243,improve_gpt5,generate_gpt4o,2,2,generate_gpt4o,improve_gpt5,Yes
07fc7243,generate_gpt5,paraphrase_gpt4o,1,2,generate_gpt5,generate_gpt5,No
07fc7243,generate_gpt5,improve_gpt4o,1,2,generate_gpt5,generate_gpt5,No
07fc7243,generate_gpt5,generate_gpt4o,1,2,generate_gpt5,generate_gpt5,No
07fc7243,paraphrase_gpt4o,improve_gpt4o,2,1,improve_gpt4o,improve_gpt4o,No
07fc7243,paraphrase_gpt4o,generate_gpt4o,2,1,generate_gpt4o,generate_gpt4o,No
