id,theme,model_1,model_2,answer_direct,answer_swapped,chosen_source_direct,chosen_source_reversed,order_influenced_decision
4227a025,A monarchy is preferable to any other form of government.,winning_text,losing_text,1,2,winning_text,winning_text,No
4227a025,A monarchy is preferable to any other form of government.,winning_text,paraphrase_gpt5,2,2,paraphrase_gpt5,winning_text,Yes
4227a025,A monarchy is preferable to any other form of government.,winning_text,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
4227a025,A monarchy is preferable to any other form of government.,winning_text,generate_gpt5,2,1,generate_gpt5,generate_gpt5,No
4227a025,A monarchy is preferable to any other form of government.,winning_text,paraphrase_gpt4o,2,2,paraphrase_gpt4o,winning_text,Yes
4227a025,A monarchy is preferable to any other form of government.,winning_text,improve_gpt4o,2,1,improve_gpt4o,improve_gpt4o,No
4227a025,A monarchy is preferable to any other form of government.,winning_text,generate_gpt4o,2,1,generate_gpt4o,generate_gpt4o,No
4227a025,A monarchy is preferable to any other form of government.,winning_text,paraphrase_qwen,2,2,paraphrase_qwen,winning_text,Yes
4227a025,A monarchy is preferable to any other form of government.,winning_text,improve_qwen,2,2,improve_qwen,winning_text,Yes
4227a025,A monarchy is preferable to any other form of government.,winning_text,generate_qwen,2,1,generate_qwen,generate_qwen,No
4227a025,A monarchy is preferable to any other form of government.,winning_text,paraphrase_llama,2,2,paraphrase_llama,winning_text,Yes
4227a025,A monarchy is preferable to any other form of government.,winning_text,improve_llama,2,2,improve_llama,winning_text,Yes
4227a025,A monarchy is preferable to any other form of government.,winning_text,generate_llama,2,2,generate_llama,winning_text,Yes
4227a025,A monarchy is preferable to any other form of government.,winning_text,paraphrase_mistral,2,2,paraphrase_mistral,winning_text,Yes
4227a025,A monarchy is preferable to any other form of government.,winning_text,improve_mistral,2,1,improve_mistral,improve_mistral,No
4227a025,A monarchy is preferable to any other form of government.,winning_text,generate_mistral,2,2,generate_mistral,winning_text,Yes
4227a025,A monarchy is preferable to any other form of government.,winning_text,paraphrase_sonnet,2,2,paraphrase_sonnet,winning_text,Yes
4227a025,A monarchy is preferable to any other form of government.,winning_text,improve_sonnet,2,2,improve_sonnet,winning_text,Yes
4227a025,A monarchy is preferable to any other form of government.,winning_text,generate_sonnet,2,1,generate_sonnet,generate_sonnet,No
4227a025,A monarchy is preferable to any other form of government.,winning_text,paraphrase_gemini,2,2,paraphrase_gemini,winning_text,Yes
4227a025,A monarchy is preferable to any other form of government.,winning_text,improve_gemini,1,2,winning_text,winning_text,No
4227a025,A monarchy is preferable to any other form of government.,winning_text,generate_gemini,2,1,generate_gemini,generate_gemini,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,paraphrase_gpt5,2,1,paraphrase_gpt5,paraphrase_gpt5,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,generate_gpt5,2,1,generate_gpt5,generate_gpt5,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,paraphrase_gpt4o,2,1,paraphrase_gpt4o,paraphrase_gpt4o,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,improve_gpt4o,2,1,improve_gpt4o,improve_gpt4o,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,generate_gpt4o,2,1,generate_gpt4o,generate_gpt4o,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,paraphrase_qwen,2,2,paraphrase_qwen,losing_text,Yes
4227a025,A monarchy is preferable to any other form of government.,losing_text,improve_qwen,2,1,improve_qwen,improve_qwen,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,generate_qwen,2,1,generate_qwen,generate_qwen,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,paraphrase_llama,2,1,paraphrase_llama,paraphrase_llama,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,improve_llama,2,1,improve_llama,improve_llama,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,generate_llama,2,2,generate_llama,losing_text,Yes
4227a025,A monarchy is preferable to any other form of government.,losing_text,paraphrase_mistral,2,1,paraphrase_mistral,paraphrase_mistral,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,improve_mistral,2,1,improve_mistral,improve_mistral,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,generate_mistral,2,2,generate_mistral,losing_text,Yes
4227a025,A monarchy is preferable to any other form of government.,losing_text,paraphrase_sonnet,2,1,paraphrase_sonnet,paraphrase_sonnet,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,improve_sonnet,2,1,improve_sonnet,improve_sonnet,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,generate_sonnet,2,1,generate_sonnet,generate_sonnet,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,paraphrase_gemini,2,2,paraphrase_gemini,losing_text,Yes
4227a025,A monarchy is preferable to any other form of government.,losing_text,improve_gemini,2,1,improve_gemini,improve_gemini,No
4227a025,A monarchy is preferable to any other form of government.,losing_text,generate_gemini,2,1,generate_gemini,generate_gemini,No
ba1c6225,Abortion is a human right.,winning_text,losing_text,2,1,losing_text,losing_text,No
ba1c6225,Abortion is a human right.,winning_text,paraphrase_gpt5,2,1,paraphrase_gpt5,paraphrase_gpt5,No
ba1c6225,Abortion is a human right.,winning_text,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
ba1c6225,Abortion is a human right.,winning_text,generate_gpt5,2,1,generate_gpt5,generate_gpt5,No
ba1c6225,Abortion is a human right.,winning_text,paraphrase_gpt4o,2,1,paraphrase_gpt4o,paraphrase_gpt4o,No
ba1c6225,Abortion is a human right.,winning_text,improve_gpt4o,2,1,improve_gpt4o,improve_gpt4o,No
ba1c6225,Abortion is a human right.,winning_text,generate_gpt4o,2,1,generate_gpt4o,generate_gpt4o,No
ba1c6225,Abortion is a human right.,winning_text,paraphrase_qwen,2,1,paraphrase_qwen,paraphrase_qwen,No
ba1c6225,Abortion is a human right.,winning_text,improve_qwen,2,1,improve_qwen,improve_qwen,No
ba1c6225,Abortion is a human right.,winning_text,generate_qwen,2,1,generate_qwen,generate_qwen,No
ba1c6225,Abortion is a human right.,winning_text,paraphrase_llama,2,1,paraphrase_llama,paraphrase_llama,No
ba1c6225,Abortion is a human right.,winning_text,improve_llama,2,1,improve_llama,improve_llama,No
ba1c6225,Abortion is a human right.,winning_text,generate_llama,2,1,generate_llama,generate_llama,No
ba1c6225,Abortion is a human right.,winning_text,paraphrase_mistral,2,1,paraphrase_mistral,paraphrase_mistral,No
ba1c6225,Abortion is a human right.,winning_text,improve_mistral,2,1,improve_mistral,improve_mistral,No
ba1c6225,Abortion is a human right.,winning_text,generate_mistral,2,1,generate_mistral,generate_mistral,No
ba1c6225,Abortion is a human right.,winning_text,paraphrase_sonnet,2,1,paraphrase_sonnet,paraphrase_sonnet,No
ba1c6225,Abortion is a human right.,winning_text,improve_sonnet,2,1,improve_sonnet,improve_sonnet,No
ba1c6225,Abortion is a human right.,winning_text,generate_sonnet,2,1,generate_sonnet,generate_sonnet,No
ba1c6225,Abortion is a human right.,winning_text,paraphrase_gemini,2,1,paraphrase_gemini,paraphrase_gemini,No
ba1c6225,Abortion is a human right.,winning_text,improve_gemini,2,1,improve_gemini,improve_gemini,No
ba1c6225,Abortion is a human right.,winning_text,generate_gemini,2,1,generate_gemini,generate_gemini,No
ba1c6225,Abortion is a human right.,losing_text,paraphrase_gpt5,2,1,paraphrase_gpt5,paraphrase_gpt5,No
ba1c6225,Abortion is a human right.,losing_text,improve_gpt5,2,1,improve_gpt5,improve_gpt5,No
ba1c6225,Abortion is a human right.,losing_text,generate_gpt5,2,1,generate_gpt5,generate_gpt5,No
ba1c6225,Abortion is a human right.,losing_text,paraphrase_gpt4o,2,1,paraphrase_gpt4o,paraphrase_gpt4o,No
ba1c6225,Abortion is a human right.,losing_text,improve_gpt4o,2,1,improve_gpt4o,improve_gpt4o,No
ba1c6225,Abortion is a human right.,losing_text,generate_gpt4o,2,1,generate_gpt4o,generate_gpt4o,No
ba1c6225,Abortion is a human right.,losing_text,paraphrase_qwen,2,1,paraphrase_qwen,paraphrase_qwen,No
ba1c6225,Abortion is a human right.,losing_text,improve_qwen,2,2,improve_qwen,losing_text,Yes
