row_id,A_source,B_source,direct_answer,swapped_answer,order_influenced_decision,chosen_source_direct,chosen_source_reversed
02595c96,winning_human,losing_human,1,2,No,winning_human,winning_human
02595c96,winning_human,paraphrase_gpt5,2,1,No,paraphrase_gpt5,paraphrase_gpt5
02595c96,winning_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
02595c96,winning_human,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
02595c96,winning_human,paraphrase_gpt4o,2,2,Yes,paraphrase_gpt4o,winning_human
02595c96,winning_human,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
02595c96,winning_human,generate_gpt4o,2,1,No,generate_gpt4o,generate_gpt4o
02595c96,losing_human,paraphrase_gpt5,2,1,No,paraphrase_gpt5,paraphrase_gpt5
02595c96,losing_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
02595c96,losing_human,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
02595c96,losing_human,paraphrase_gpt4o,2,1,No,paraphrase_gpt4o,paraphrase_gpt4o
02595c96,losing_human,improve_gpt4o,1,1,Yes,losing_human,improve_gpt4o
02595c96,losing_human,generate_gpt4o,2,1,No,generate_gpt4o,generate_gpt4o
02595c96,paraphrase_gpt5,improve_gpt5,1,1,Yes,paraphrase_gpt5,improve_gpt5
02595c96,paraphrase_gpt5,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
02595c96,paraphrase_gpt5,paraphrase_gpt4o,2,2,Yes,paraphrase_gpt4o,paraphrase_gpt5
02595c96,paraphrase_gpt5,improve_gpt4o,1,1,Yes,paraphrase_gpt5,improve_gpt4o
02595c96,paraphrase_gpt5,generate_gpt4o,1,1,Yes,paraphrase_gpt5,generate_gpt4o
02595c96,improve_gpt5,generate_gpt5,1,1,Yes,improve_gpt5,generate_gpt5
02595c96,improve_gpt5,paraphrase_gpt4o,1,2,No,improve_gpt5,improve_gpt5
02595c96,improve_gpt5,improve_gpt4o,1,2,No,improve_gpt5,improve_gpt5
02595c96,improve_gpt5,generate_gpt4o,1,1,Yes,improve_gpt5,generate_gpt4o
02595c96,generate_gpt5,paraphrase_gpt4o,1,2,No,generate_gpt5,generate_gpt5
02595c96,generate_gpt5,improve_gpt4o,1,2,No,generate_gpt5,generate_gpt5
02595c96,generate_gpt5,generate_gpt4o,1,1,Yes,generate_gpt5,generate_gpt4o
02595c96,paraphrase_gpt4o,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
02595c96,paraphrase_gpt4o,generate_gpt4o,2,1,No,generate_gpt4o,generate_gpt4o
02595c96,improve_gpt4o,generate_gpt4o,1,1,Yes,improve_gpt4o,generate_gpt4o
06ae91a0,winning_human,losing_human,2,1,No,losing_human,losing_human
06ae91a0,winning_human,paraphrase_gpt5,2,1,No,paraphrase_gpt5,paraphrase_gpt5
06ae91a0,winning_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
06ae91a0,winning_human,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
06ae91a0,winning_human,paraphrase_gpt4o,2,1,No,paraphrase_gpt4o,paraphrase_gpt4o
06ae91a0,winning_human,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
06ae91a0,winning_human,generate_gpt4o,2,1,No,generate_gpt4o,generate_gpt4o
06ae91a0,losing_human,paraphrase_gpt5,2,1,No,paraphrase_gpt5,paraphrase_gpt5
06ae91a0,losing_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
06ae91a0,losing_human,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
06ae91a0,losing_human,paraphrase_gpt4o,2,1,No,paraphrase_gpt4o,paraphrase_gpt4o
06ae91a0,losing_human,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
06ae91a0,losing_human,generate_gpt4o,2,2,Yes,generate_gpt4o,losing_human
06ae91a0,paraphrase_gpt5,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
06ae91a0,paraphrase_gpt5,generate_gpt5,1,1,Yes,paraphrase_gpt5,generate_gpt5
06ae91a0,paraphrase_gpt5,paraphrase_gpt4o,2,2,Yes,paraphrase_gpt4o,paraphrase_gpt5
06ae91a0,paraphrase_gpt5,improve_gpt4o,1,1,Yes,paraphrase_gpt5,improve_gpt4o
06ae91a0,paraphrase_gpt5,generate_gpt4o,1,1,Yes,paraphrase_gpt5,generate_gpt4o
06ae91a0,improve_gpt5,generate_gpt5,1,1,Yes,improve_gpt5,generate_gpt5
06ae91a0,improve_gpt5,paraphrase_gpt4o,1,2,No,improve_gpt5,improve_gpt5
06ae91a0,improve_gpt5,improve_gpt4o,1,2,No,improve_gpt5,improve_gpt5
06ae91a0,improve_gpt5,generate_gpt4o,1,1,Yes,improve_gpt5,generate_gpt4o
06ae91a0,generate_gpt5,paraphrase_gpt4o,1,2,No,generate_gpt5,generate_gpt5
06ae91a0,generate_gpt5,improve_gpt4o,1,1,Yes,generate_gpt5,improve_gpt4o
06ae91a0,generate_gpt5,generate_gpt4o,1,1,Yes,generate_gpt5,generate_gpt4o
06ae91a0,paraphrase_gpt4o,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
06ae91a0,paraphrase_gpt4o,generate_gpt4o,2,1,No,generate_gpt4o,generate_gpt4o
06ae91a0,improve_gpt4o,generate_gpt4o,2,1,No,generate_gpt4o,generate_gpt4o
07fc7243,winning_human,losing_human,1,2,No,winning_human,winning_human
07fc7243,winning_human,paraphrase_gpt5,2,2,Yes,paraphrase_gpt5,winning_human
07fc7243,winning_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
07fc7243,winning_human,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
07fc7243,winning_human,paraphrase_gpt4o,2,2,Yes,paraphrase_gpt4o,winning_human
07fc7243,winning_human,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
07fc7243,winning_human,generate_gpt4o,1,1,Yes,winning_human,generate_gpt4o
07fc7243,losing_human,paraphrase_gpt5,2,1,No,paraphrase_gpt5,paraphrase_gpt5
07fc7243,losing_human,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
07fc7243,losing_human,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
07fc7243,losing_human,paraphrase_gpt4o,2,1,No,paraphrase_gpt4o,paraphrase_gpt4o
07fc7243,losing_human,improve_gpt4o,2,1,No,improve_gpt4o,improve_gpt4o
07fc7243,losing_human,generate_gpt4o,1,1,Yes,losing_human,generate_gpt4o
07fc7243,paraphrase_gpt5,improve_gpt5,2,1,No,improve_gpt5,improve_gpt5
07fc7243,paraphrase_gpt5,generate_gpt5,2,1,No,generate_gpt5,generate_gpt5
07fc7243,paraphrase_gpt5,paraphrase_gpt4o,2,1,No,paraphrase_gpt4o,paraphrase_gpt4o
07fc7243,paraphrase_gpt5,improve_gpt4o,2,2,Yes,improve_gpt4o,paraphrase_gpt5
07fc7243,paraphrase_gpt5,generate_gpt4o,2,2,Yes,generate_gpt4o,paraphrase_gpt5
